"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","531009344","Alquiler","Plurifamiliar","València","46010","Valencia","Valencia","La Saïdia","Trinitat","39.4836083889","-0.3698666111","","Profesional","GESTION INMOBILIARIA TU CARTEL ES","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/013b7977-3296-4bf0-b2b3-1d68ecfd9a6cG.jpg","https://www.milanuncios.com/anuncios/r531009344.htm","2024-12-04","962949581","gestioninmobiliariatucarteles29d3@realestate.com","No","","","No","No contactado","1","3","1","95","1500","15","26","Muy alta"
"habitaclia","3ab318a4fbd3","Alquiler","Plurifamiliar","Cómodo y coqueto piso para estudiantes","","Valencia","Valencia","La Saïdia","Sant Antoni","39.4896013","-0.3708107","0","Particular","","No","Sí","No","No","Sí","No","No","No","https://images.habimg.com/imgh/3722114d-bd39-4aed-bb24-0a1f59593763G.jpg","https://www.habitaclia.com/i500006002727","2024-07-24","629358792","","No","Muy bueno","","No","No contactado","2","4","2","136","1800","13","159","Muy alta"
"habitaclia","ut1500991","Alquiler","Plurifamiliar","Passeig Facultats, Valencia","","Valencia","Valencia","Algirós","La Bega Baixa - Plaza Xúquer","39.476984963","-0.347355037","0","Profesional","HOUSING ANYWHERE","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/29c96872-9e05-4cdf-b2c8-1c7452bd91d6G.jpg","https://www.habitaclia.com/i52795000002985","2024-12-10","34911230233","m.peri@housinganywhere.com","No","Muy bueno","","No","No contactado","3","1","","17","930","54","20","Muy alta"
"milanuncios","532317018","Alquiler","Plurifamiliar","Valencia","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4652710889","-0.3834129111","3","Profesional","NOV REAL ESTATE","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0068a64e-3c62-46e4-803b-ce6288831e2aG.jpg","https://www.milanuncios.com/anuncios/r532317018.htm","2024-12-24","962940248","novrealestate0210@realestate.com","No","","","No","No contactado","4","2","1","105","1650","15","6","Muy alta"
"milanuncios","481615072","Alquiler","Plurifamiliar","Valencia","46100","Burjassot","Valencia","Zona Cantereria","","39.5032003889","-0.4159087111","","Profesional","SERINFO 1998  S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0e0f40cb-4473-4db3-a5a8-b6eaa49163c7G.jpg","https://www.milanuncios.com/anuncios/r481615072.htm","2023-03-23","962641584","serinfo2d96@realestate.com","No","","","No","No contactado","5","","1","50","800","16","648","Muy alta"
"milanuncios","523122450","Alquiler","Plurifamiliar","València","46022","Valencia","Valencia","Algirós","L'Illa Perduda","39.4687720889","-0.3412764111","","Profesional","INTERFINANCE GEST ASEENTRAMI S","Sí","Sí","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r523122450.htm","2024-08-30","960962429","familyhousebenicalapc9cd@realestate.com","No","","","No","No contactado","6","3","1","91","1200","13","122","Muy alta"
"habitaclia","COS-01231","Alquiler","Plurifamiliar","Fantástico dúplex en alquiler en la avenida Perez Galdós, con PLAZA DE GARAJE INCLUIDA","","Valencia","Valencia","Extramurs","Arrancapins","39.4653601163","-0.3884983244","0","Profesional","cosmohabitat","Sí","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/08f08838-305d-411f-9118-8fd24ea76d14G.jpg","https://www.habitaclia.com/i31957000001066","2024-12-04","644027227","maria@cosmohabitat.com","No","Muy bueno","","No","No contactado","7","2","2","106","1450","13","26","Muy alta"
"milanuncios","531922525","Alquiler","Plurifamiliar","València","46023","Valencia","Valencia","Camins al Grau","Camí Fondo - Zona Baleares - Canarias","39.4647664889","-0.3545301111","4","Profesional","VICENTE GARCÍA  JOSE ANGEL","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/16a291e6-0016-4989-9c8f-4cfb443aff8fG.jpg","https://www.milanuncios.com/anuncios/r531922525.htm","2024-12-18","961281558","alameda10dt69e2@realestate.com","No","","","No","No contactado","8","3","1","86","1600","18","12","Muy alta"
"milanuncios","532508873","Alquiler","Plurifamiliar","València","46004","Valencia","Valencia","L'Eixample","El Pla del Remei","39.4708982516","-0.3693597484","1","Profesional","Inmoiber","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1501c2b7-bf2e-4d4c-bf68-35f045c6bd95G.jpg","https://www.milanuncios.com/anuncios/r532508873.htm","2024-12-28","876270285","inmoiber497b@realestate.com","No","","","No","No contactado","9","1","1","35","405","11","1","Muy alta"
"milanuncios","531440583","Alquiler","Plurifamiliar","València","46007","Valencia","Valencia","Jesús","La Raïosa","39.4535912123","-0.3834557877","4","Profesional","EV MMC SPAIN  S L U","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1cf47448-eda2-4fe3-a918-00f434e313d1G.jpg","https://www.milanuncios.com/anuncios/r531440583.htm","2024-12-11","961287313","engelvolkers809d@realestate.com","No","","","No","No contactado","10","2","1","91","1200","13","9","Muy alta"
