"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","512332611","Alquiler","Plurifamiliar","València","46006","Valencia","Valencia","Quatre Carreres","En Corts - Doctor Waksman","39.4558606423","-0.3757333577","","Profesional","CM PROPERTIES","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/079475aa-dbcd-40bd-ae9d-24492b03b8a5G.jpg","https://www.milanuncios.com/anuncios/r512332611.htm","2024-04-29","962470759","cmproperties8e5d@realestate.com","No","","","No","No contactado","1","3","1","70","1350","19","31","Muy alta"
"habitaclia","661494","Alquiler","Plurifamiliar","","","Valencia","Valencia","Ciutat Vella","El Mercat","39.4726563275","-0.3780638725","0","Profesional","Uniplaces","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/13999a81-6399-4a46-9f52-89f240d48801G.jpg","https://www.habitaclia.com/i50824000000649","2024-05-06","691111788","sofia.fonseca@uniplaces.com","No","Muy bueno","","No","No contactado","2","","1","39","1450","37","24","Muy alta"
"milanuncios","512867833","Alquiler","Plurifamiliar","Valencia","46002","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.4673576423","-0.3805223577","","Profesional","Valencia Ma Casa","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/03c70ebd-7116-4b71-bd1c-9c27dbc7f1e2G.jpg","https://www.milanuncios.com/anuncios/r512867833.htm","2024-05-07","962940167","valenciamacasa388d@realestate.com","No","","","No","No contactado","3","5","3","220","2200","10","23","Muy alta"
"milanuncios","513105610","Alquiler","Plurifamiliar","València","46005","Valencia","Valencia","L'Eixample","Zona Gran Via","39.4644719423","-0.3644403577","7","Profesional","IPISOS","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/2783e1cd-dd52-4168-8a2f-76ee393a557cG.jpg","https://www.milanuncios.com/anuncios/r513105610.htm","2024-05-09","962949187","ipisosb78b@realestate.com","No","","","No","No contactado","4","5","2","158","2500","15","21","Muy alta"
"habitaclia","283972","Alquiler","Plurifamiliar","ABASTOS","","Valencia","Valencia","Extramurs","Arrancapins","39.4673453027","-0.3901598973","0","Profesional","INMOBILIARIA LAURIA","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0dfd0a41-2c56-4480-9462-545a671abd7fG.jpg","https://www.habitaclia.com/i11611003810763","2024-05-29","963509287","aww@inbox.witei.com","No","Muy bueno","","No","No contactado","5","3","2","90","1100","12","1","Muy alta"
"milanuncios","514244151","Alquiler","Plurifamiliar","València","46023","Valencia","Valencia","Camins al Grau","Penya - Roja - Avda. Francia","39.4574053038","-0.3502673707","","Profesional","RIVAS SANCHEZ CARMEN","Sí","Sí","No","No","No","No","Sí","No","https://images.habimg.com/imgh/008c031a-44df-497f-8a43-aee206828bf7G.jpg","https://www.milanuncios.com/anuncios/r514244151.htm","2024-05-21","960968245","inmobiliariatrafalgar17aa@realestate.com","No","","","No","No contactado","6","3","2","147","2000","13","9","Muy alta"
"milanuncios","513560664","Alquiler","Plurifamiliar","València","46010","Valencia","Valencia","El Pla del Real","Exposició","39.476894087","-0.3681701522","","Profesional","SEED CAPITAL SOCIEDAD LIMITADA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/038f7582-ae78-49dd-be6f-51e2893f8816G.jpg","https://www.milanuncios.com/anuncios/r513560664.htm","2024-05-14","961282196","callaghaninmobiliariab028@realestate.com","No","","","No","No contactado","7","3","2","187","4000","21","16","Muy alta"
"milanuncios","513213467","Alquiler","Plurifamiliar","València","46001","Valencia","Valencia","Ciutat Vella","El Pilar","39.4700974423","-0.3831966577","","Profesional","IPISOS","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/006b1c20-9d7d-47b8-ab80-8338bfd2a098G.jpg","https://www.milanuncios.com/anuncios/r513213467.htm","2024-05-10","962949187","ipisosb78b@realestate.com","No","","","No","No contactado","8","2","1","78","1300","16","20","Muy alta"
"milanuncios","513872890","Alquiler","Plurifamiliar","València","46023","Valencia","Valencia","Camins al Grau","Penya - Roja - Avda. Francia","39.4587532007","-0.3512332435","","Profesional","Finaer","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0045df18-f8e2-4977-9b42-1336c12936e9G.jpg","https://www.milanuncios.com/anuncios/r513872890.htm","2024-05-17","696587039","inmobiliariascongarantiafinaere6e5@realestate.com","No","","","No","No contactado","9","3","2","100","1700","17","13","Muy alta"
"milanuncios","512596614","Alquiler","Plurifamiliar","València","46023","Valencia","Valencia","Camins al Grau","La Creu del Grau","39.4624655191","-0.3427600809","3","Profesional","MONALVA ASESORES JURIDICOS E INMOBILIARIOS  S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/26546-2581/_26546-img2581-13604G.jpg","https://www.milanuncios.com/anuncios/r512596614.htm","2024-05-03","962647198","grupomonalva2ae2@realestate.com","No","","","No","No contactado","10","2","1","65","949","14","3","Muy alta"
