"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"habitaclia","424","Alquiler","Plurifamiliar","Piso en Alquiler Malvarrosa","","Valencia","Valencia","Poblats Marítims","La Malva-rosa","39.4793081845","-0.3281962155","4","Profesional","EnmetroS Inmobiliaria","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/53039b86-495d-44c2-be9a-0aa3e5318820G.jpg","https://www.habitaclia.com/i37806000000271","2024-11-20","653572557","inmoenmetros@gmail.com","No","Muy bueno","","No","No contactado","1","1","1","59","1275","21","9","Muy alta"
"milanuncios","530619879","Alquiler","Plurifamiliar","València","46009","Valencia","Valencia","La Saïdia","Tormos","39.4891385534","-0.3840099466","2","Profesional","IPISOS","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1db7b5ce-9b58-4fe4-950b-39001c100844G.jpg","https://www.milanuncios.com/anuncios/r530619879.htm","2024-11-28","962949187","ipisosb78b@realestate.com","No","","","No","No contactado","2","2","1","78","1100","14","1","Muy alta"
"habitaclia","3ab318a4fbd3","Alquiler","Plurifamiliar","Cómodo y coqueto piso para estudiantes","","Valencia","Valencia","La Saïdia","Sant Antoni","39.4896013","-0.3708107","0","Particular","","No","Sí","No","No","Sí","No","No","No","https://images.habimg.com/imgh/3722114d-bd39-4aed-bb24-0a1f59593763G.jpg","https://www.habitaclia.com/i500006002727","2024-07-24","629358792","","No","Muy bueno","","No","No contactado","3","4","2","136","1800","13","128","Muy alta"
"milanuncios","530551925","Alquiler","Plurifamiliar","València","46019","Valencia","Valencia","Rascanya","Sant Llorenç - Zona Alfahuir","39.4924747534","-0.3677289466","Bajos","Profesional","Cristina Gestion Sl","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/2b730b10-cce2-41b6-8c10-0199b070986cG.jpg","https://www.milanuncios.com/anuncios/r530551925.htm","2024-11-27","960965477","habitalealfahuird0f1@realestate.com","No","","","No","No contactado","4","1","1","55","950","17","2","Muy alta"
"milanuncios","525015738","Alquiler","Plurifamiliar","Valencia Capital - Carrer de l''Arquitec","46009","Valencia","Valencia","La Saïdia","Tormos","39.4908","-0.376288","","Profesional","Aproperties","Sí","No","No","No","Sí","No","No","No","https://images.habimg.com/imgh/4737-img3822653-480362644G.jpg","https://www.milanuncios.com/anuncios/r525015738.htm","2024-09-27","962648135","apropertiesrealestatevalencia6ff9@realestate.com","No","","","No","No contactado","5","3","2","98","2500","25","63","Muy alta"
"habitaclia","8693564584ee","Alquiler","Plurifamiliar","Alquiler de larga estancia","46011","Valencia","Valencia","Poblats Marítims","La Malva-rosa","39.4812108","-0.3323543","0","Particular","","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/4e567c6e-00ae-40b7-9da7-1fea1e59dda9G.jpg","https://www.habitaclia.com/i500004562468","2024-04-20","698999289","001.mmpa@gmail.com","No","Muy bueno","","No","No contactado","6","2","2","95","1900","20","223","Muy alta"
"milanuncios","522692419","Alquiler","Plurifamiliar","València","46002","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.4709579534","-0.3763904466","","Profesional","CASERO CASAS PACO CASERO","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0950445b-b9da-46c3-96d2-96715a10f38aG.jpg","https://www.milanuncios.com/anuncios/r522692419.htm","2024-08-23","600036619","caserocasasd2f8@realestate.com","No","","","No","No contactado","7","","1","176","3400","19","98","Muy alta"
"habitaclia","547","Alquiler","Plurifamiliar","EXCTE. VIVIENDA SEÑORIAL DE 162 M2 CON 5 DORM. AMUEBLADA JUNTO A VIVEROS, CON GARAJE PEQUEÑO","","Valencia","Valencia","El Pla del Real","Jaume Roig","39.4808716617","-0.3641777383","6","Profesional","ALAMEDA 10DT","No","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/031ce610-1af5-4ecf-b058-d83eb3ce482eG.jpg","https://www.habitaclia.com/i43366000001134","2024-11-13","690062272","info@alameda10dt.com","No","Muy bueno","","No","No contactado","8","5","2","162","2000","12","5","Muy alta"
"milanuncios","530291542","Alquiler","Plurifamiliar","València","46001","Valencia","Valencia","Ciutat Vella","El Pilar","39.4697945566","-0.3829955094","","Profesional","Spaces Places","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/01631309-4f5a-444d-8b16-c7fcee03b122G.jpg","https://www.milanuncios.com/anuncios/r530291542.htm","2024-11-25","962470857","spacesplaces120d@realestate.com","No","","","No","No contactado","9","3","1","90","1280","14","2","Muy alta"
"milanuncios","529363771","Alquiler","Plurifamiliar","València","46004","Valencia","Valencia","L'Eixample","El Pla del Remei","39.466965095","-0.373896205","6","Profesional","VICENTE GARCÍA  JOSE ANGEL","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/035d9223-dc9c-401c-a78b-3756d3781d7cG.jpg","https://www.milanuncios.com/anuncios/r529363771.htm","2024-11-13","961281558","alameda10dt69e2@realestate.com","No","","","No","No contactado","10","2","1","160","2400","15","5","Muy alta"
