"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"Fotocasa","v-34","Venta","Plurifamiliar","Piso en Venta en El Carme","46003","Valencia","Valencia","Ciutat Vella","El Carme","39.476009076","-0.378969624","Bajos","Profesional","Deniz Estate Benidorm","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/74702fe2-16c2-4bde-a78f-6107ad45ad45?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185483869&tti=2","2025-01-29","34965028045","valencia@deniz-estate.con","No","Muy bueno","","No","No contactado","557","2","2","90","185000","2055","1","Moderada"
"milanuncios","535170790","Venta","Plurifamiliar","València","46022","Valencia","Valencia","Camins al Grau","Aiora","39.465733257","-0.342229143","1","Profesional","SERVITRESS","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/182df1aa-cb42-4c3b-81e5-d50c0d67c40fG.jpg","https://www.milanuncios.com/anuncios/r535170790.htm","2025-01-29","960969858","servitress0ee2@realestate.com","No","","","No","No contactado","52","3","1","75","179000","2386","1","Muy alta"
"Fotocasa","L-J53","Venta","Plurifamiliar","Piso en Venta en Tres Forques","46018","Valencia","Valencia","L'Olivereta","Tres Forques","39.467139776","-0.404988224","4º","Profesional","EXPERCASA SAN MARCELINO","Sí","No","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/95591d3b-baf6-41bd-8302-2acfaf7e6793?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185480496&tti=2","2025-01-29","962470952","valencialallum@expercasa.com","No","Muy bueno","","No","No contactado","923","1","1","46","46000","1000","1","Moderada"
"habitaclia","KWK-52","Venta","Plurifamiliar","DUPLEX EN CALLE DOCTOR LLUCH","","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.472563168","-0.3275646177","2","Profesional","Amarilo Inmobiliaria","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0b6b5a97-a3b1-4f1b-971b-697774d83ea2G.jpg","https://www.habitaclia.com/i40609000000542","2025-01-29","34963529900","hola@amarilo.es","No","Muy bueno","","No","No contactado","374","1","1","96","216990","2260","1","Alta"
"habitaclia","00000-473955-S","Venta","Plurifamiliar","URBANA. SETENTA Y UNO. VIVIENDA centro, mirando a la fachada, de la planta alta segunda, PUERTA número CINCO, del edificio sito en","","Valencia","Valencia","Rascanya","Torrefiel","39.4926185658","-0.3792630299","0","Profesional","SUBASTAFÁCIL.COM","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/21c95ce1-6b13-4fd4-b4ef-931ee27d34c2G.jpg","https://www.habitaclia.com/i33130000073460","2025-01-29","673178676","info@subastafacil.com","No","Muy bueno","","No","No contactado","454","2","1","78","88630","1136","1","Moderada"
"Fotocasa","00000-474024-S","Venta","Plurifamiliar","Piso en Venta en Torrefiel","46019","Valencia","Valencia","Rascanya","Torrefiel","39.4939941614","-0.378085404","Undefined","Profesional","SUBASTAFÁCIL.COM","No","No","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/c3bd9fc1-952f-4356-af84-508cfcd59e11?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185476775&tti=2","2025-01-29","928196597","portales-inmobiliarios@subastafacil.com","No","Muy bueno","","No","No contactado","1897","2","1","57","48501","850","1","Baja"
"Fotocasa","ANG137","Venta","Plurifamiliar","Piso en Venta en  Carrer del Marí Albesa, 34, Aiora","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4659356","-0.3451247","Bajos","Profesional","TEMPOCASA VALENCIA","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/26c93a2b-f4f2-4333-b5ea-511547b7fd22?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185483135&tti=2","2025-01-29","962470793","valenciagrau@tempocasa.es","No","Muy bueno","","No","No contactado","2310","2","2","180","137500","763","1","Baja"
"milanuncios","535135481","Venta","Plurifamiliar","València","46018","Valencia","Valencia","L'Olivereta","Tres Forques","39.470557357","-0.401570643","4","Profesional","Expercasa San Marcelino","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/074e062f-1e1b-4860-a5f0-47373053a7a2G.jpg","https://www.milanuncios.com/anuncios/r535135481.htm","2025-01-29","962470952","expercasasanmarcelinod65c@realestate.com","No","","","No","No contactado","27","1","1","46","46000","1000","1","Muy alta"
"milanuncios","535164443","Venta","Plurifamiliar","València","46020","Valencia","Valencia","Benimaclet","Barrio de Benimaclet","39.488639457","-0.363988543","4","Profesional","TECNOCASA BENIMACLET   ESTUDIO DESARROLLO BENIMACL","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0bc88126-f570-4fea-abd0-f473dcdb7c11G.jpg","https://www.milanuncios.com/anuncios/r535164443.htm","2025-01-29","962471287","tecnocasabenimacletestudiodesardaaf@realestate.com","No","","","No","No contactado","20","3","","78","159990","2051","1","Muy alta"
"milanuncios","535162835","Venta","Plurifamiliar","València","46002","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.472193507","-0.374840993","","Profesional","Ml Strategic Properties S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/224a8a59-4aa0-4213-80a6-1a728219b8e9G.jpg","https://www.milanuncios.com/anuncios/r535162835.htm","2025-01-29","962646172","holainmobiliariaab2f@realestate.com","No","","","No","No contactado","18","3","1","95","340000","3578","1","Muy alta"
