"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"Fotocasa","1815347","Venta","Plurifamiliar","Apartamento en Venta en   PINTOR MAELLA, 32, Penya - Roja - Avda. Francia","46023","Valencia","Valencia","Camins al Grau","Penya - Roja - Avda. Francia","39.4584628148","-0.3486450916","7º","Profesional","Hogares Valencia","No","Sí","Sí","No","Sí","No","Sí","No","https://static.fotocasa.es/images/ads/7ac9fcb3-416d-4265-a99f-e5f7d04f7745?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186916605&tti=2","2025-06-28","960965818","i.hogaresvalenciasc.13006@inmovilla.com","No","Muy bueno","","No","No contactado","112","3","2","141","700000","4964","1","Alta"
"habitaclia","490365-S","Venta","Plurifamiliar","Gran Oportunidad de Inversión en Subastas de activos!vivienda en venta en VALENCIA, ValenciaValència.Buscas una inversión segura y","","Valencia","Valencia","Patraix","Barrio de Patraix","39.4613681269","-0.3984696015","0","Profesional","SUBASTAFÁCIL.COM","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/8f6f6fe4-f106-4b87-b7bf-9d5aac5902f4G.jpg","https://www.habitaclia.com/i33130000087563","2025-06-28","645981971","info@subastafacil.com","No","Muy bueno","","No","No contactado","7926","","","80","94290","1178","1","Muy baja"
"habitaclia","V2932","Venta","Plurifamiliar","Una vivienda lista para entrar a vivir o para reinventarse desde cero","","Valencia","Valencia","L'Eixample","Zona Gran Via","39.4648103739","-0.3665528821","3","Profesional","CALLAGHAN INMOBILIARIA","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/01dd3ea2-5c33-4c88-a3c6-45d00e01eb30G.jpg","https://www.habitaclia.com/i8176003399059","2025-06-28","691.600.700","callaghaninmobiliaria@toolsleads.com","No","Muy bueno","","No","No contactado","8071","5","2","136","625000","4595","1","Muy baja"
"Fotocasa","AMP02562","Venta","Plurifamiliar","Piso en Venta en  Benisoda, Beteró","46022","Valencia","Valencia","Poblats Marítims","Beteró","39.4720683892","-0.3344252308","3º","Profesional","SERRERIA II","No","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/56e7c36d-fd87-4e5a-9242-54a7400585bd?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186917801&tti=2","2025-06-28","961284091","serreria2@inmoserreria.com","No","Bueno","","No","No contactado","5433","4","2","100","300000","3000","1","Muy baja"
"Fotocasa","E076-01308","Venta","Plurifamiliar","Piso en Venta en Tres Forques","46018","Valencia","Valencia","L'Olivereta","Tres Forques","39.4662050549","-0.4043582953","7º","Profesional","Primer Grupo Turia","Sí","Sí","Sí","No","Sí","No","Sí","No","https://static.fotocasa.es/images/ads/6c193990-6f35-44ab-b6cd-c9688d945369?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186918663&tti=2","2025-06-28","34960712509","i.primergrupoturia.4823@inmovilla.com","No","Muy bueno","","No","No contactado","594","4","2","107","285000","2663","1","Moderada"
"habitaclia","E076-01308","Venta","Plurifamiliar","GRANDE, CON VISTAS DESPEJADAS ,  TERRAZA y ZONAS COMUNES","","Valencia","Valencia","L'Olivereta","Tres Forques","39.4637407216","-0.4068226287","0","Profesional","Primer Grupo Turia","Sí","Sí","Sí","No","Sí","No","No","No","https://images.habimg.com/imgh/02fc3d55-1566-47ed-8257-496ca339c1fcG.jpg","https://www.habitaclia.com/i12140000000586","2025-06-28","960712509","ofranco@primergrupo.com,i.primergrupoturia.4823@inmovilla.com","No","Muy bueno","","No","No contactado","8057","4","2","107","285000","2663","1","Muy baja"
"habitaclia","1934","Venta","Plurifamiliar","","","Valencia","Valencia","Poblats Marítims","Beteró","39.4708692524","-0.3367760969","4","Profesional","ART Inmobiliaria","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/033beba0-3e02-49b5-a826-0947131995d8G.jpg","https://www.habitaclia.com/i9518002675466","2025-06-28","96 265 25 61","irene@artinmobiliaria.com","No","Muy bueno","","No","No contactado","8438","2","1","90","350000","3888","1","Muy baja"
"habitaclia","PO10002040001","Venta","Plurifamiliar","","","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4740885559","-0.3322491441","3","Profesional","Solvia Store Valencia","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/09d3db80-6149-4725-a642-b279c0e10889G.jpg","https://www.habitaclia.com/i35544000000378","2025-06-28","689651003","ernestofelipe.porcar@solviastores.com","No","Muy bueno","","No","No contactado","6007","3","1","75","255000","3400","1","Muy baja"
"habitaclia","E076-01309","Venta","Plurifamiliar","JUNTO AL RIO, CON BALCÓN, TERRAZA Y SEMIREFORMADO","","Valencia","Valencia","Campanar","Campanar - La Fe","39.4780317859","-0.3947689641","1","Profesional","Primer Grupo Turia","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/01cee1dc-e4ca-4ef7-8058-1c97614544a9G.jpg","https://www.habitaclia.com/i12140000000587","2025-06-28","960712509","ofranco@primergrupo.com,i.primergrupoturia.4823@inmovilla.com","No","Muy bueno","","No","No contactado","8413","3","2","98","340000","3469","1","Muy baja"
"Fotocasa","64-03283","Venta","Plurifamiliar","Piso en Venta en  Calle de Velázquez, Nou Moles","46018","Valencia","Valencia","L'Olivereta","Nou Moles","39.4720681632","-0.4018258348","4º","Profesional","GRUPO HOGARES INMOBILIARIAS","Sí","Sí","Sí","No","No","No","No","No","https://static.fotocasa.es/images/ads/256ead93-42f9-48d5-8df7-beafee066aed?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186917369&tti=2","2025-06-28","962645217","i.grupohogaresinmobiliarias.6928@inmovilla.com","No","Excelente","","No","No contactado","203","3","2","90","359000","3988","1","Muy alta"
