"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"Fotocasa","V128b","Venta","Plurifamiliar","Piso en Venta en  mestre sosa, Arrancapins","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4605802601","-0.383419323","2º","Profesional","Ekoforia Properties","No","Sí","No","No","Sí","No","No","No","https://static.fotocasa.es/images/ads/f5bad586-cb30-4521-81b6-b24c8201160f?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186062985&tti=2","2025-03-29","961285173","w3951@inmoweb.email","No","","","No","No contactado","8992","4","2","165","415000","2515","1","Muy baja"
"milanuncios","540108413","Venta","Plurifamiliar","Valencia Capital","46009","Valencia","Valencia","La Saïdia","Tormos","39.4877537433","-0.3771382567","","Profesional","REDPISO VALENCIA ZAIDIA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0afe9a09-e855-46cd-ab55-97654efb42a0G.jpg","https://www.milanuncios.com/anuncios/r540108413.htm","2025-03-29","962648657","zaidia@redpiso.es","No","","","No","No contactado","8523","4","2","114","350000","3070","1","Muy baja"
"Fotocasa","P&T-72","Venta","Plurifamiliar","Piso en Venta en Barrio de Campanar","46009","Valencia","Valencia","Campanar","Campanar - La Fe","39.4824142047","-0.3926298953","Undefined","Profesional","Optima Inmobiliaria","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/8243e441-048b-48ea-9358-12741789c209?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186065650&tti=2","2025-03-29","962644826","solicitudes@optimavalencia.com","No","Bueno","","No","No contactado","1060","3","1","100","191900","1919","1","Alta"
"milanuncios","540118907","Venta","Plurifamiliar","Valencia Capital","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4680841433","-0.3474701567","Bajos","Profesional","La Casa Agency Punto las Delicias","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/067744ad-f50f-4a88-9581-d611fcd09856G.jpg","https://www.milanuncios.com/anuncios/r540118907.htm","2025-03-29","962949342","46021a@lacasa.net","No","","","No","No contactado","9816","1","1","50","220000","4400","1","Muy baja"
"Fotocasa","LCV35859 - PVI","Venta","Plurifamiliar","Piso en Venta en  Carrer dels Lleons, Aiora","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4678103905","-0.3477439095","Bajos","Profesional","La Casa Agency Punto las Delicias","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/5dea4d30-4d30-40d5-b23c-61984d3adf78?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186065237&tti=2","2025-03-29","962949342","46021a@lacasa.net","No","Excelente","","No","No contactado","10896","1","1","50","220000","4400","1","Muy baja"
"Fotocasa","R290325","Venta","Plurifamiliar","Piso en Venta en  Carrer de Sagunt, 85, Morvedre","46009","Valencia","Valencia","La Saïdia","Morvedre","39.4856437","-0.3746983","7º","Profesional","InmoRueda","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/c68c9d3d-25ae-4789-9cb8-724836944270?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186064427&tti=2","2025-03-29","961285428","jesusruedainmo@gmail.com","No","Bueno","","No","No contactado","2142","3","2","117","309000","2641","1","Baja"
"Fotocasa","LCV35424 - RIO","Venta","Plurifamiliar","Piso en Venta en  Carrer de Carreres Puchalt, Barrio de Benimaclet","46020","Valencia","Valencia","Benimaclet","Barrio de Benimaclet","39.4836997905","-0.3598447095","2º","Profesional","La Casa Agency Punto las Delicias","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/a6fe5e07-0f4a-4ba6-aa61-4162f7d1a9ad?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186065172&tti=2","2025-03-29","962949342","46021a@lacasa.net","No","Bueno","","No","No contactado","8844","4","2","150","399000","2660","1","Muy baja"
"habitaclia","Natalia-1970","Venta","Plurifamiliar","Bonito piso a un paso andando del Cauce del río!","","Valencia","Valencia","Camins al Grau","Albors","39.469707001","-0.355059116","0","Profesional","KW CPI GESTIÓN","Sí","No","No","No","Sí","No","No","No","https://images.habimg.com/imgh/013bc123-8963-4644-aa8d-908aea60ce03G.jpg","https://www.habitaclia.com/i8188000003286","2025-03-29","963.366.666","i.cpigestion.1598.9@inmovilla.com,captacion@cpigestion.com","No","Muy bueno","","No","No contactado","4972","3","1","107","360000","3364","1","Muy baja"
"milanuncios","540097015","Venta","Plurifamiliar","Valencia Capital","46007","Valencia","Valencia","Extramurs","Arrancapins","39.460854013","-0.3831455701","2","Profesional","Ekoforia Properties","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/104fa215-5788-4334-800f-cdbc6b567162G.jpg","https://www.milanuncios.com/anuncios/r540097015.htm","2025-03-29","961285173","w3951@inmoweb.email","No","","","No","No contactado","8232","4","2","165","415000","2515","1","Muy baja"
"milanuncios","540118490","Venta","Plurifamiliar","Valencia Capital","46020","Valencia","Valencia","Benimaclet","Barrio de Benimaclet","39.4839735433","-0.3595709567","2","Profesional","La Casa Agency Punto las Delicias","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/03f35cb5-cc31-410e-8a43-529e50a393ddG.jpg","https://www.milanuncios.com/anuncios/r540118490.htm","2025-03-29","962949342","46021a@lacasa.net","No","","","No","No contactado","9891","4","2","150","399000","2660","1","Muy baja"
"milanuncios","540125450","Venta","Plurifamiliar","Valencia Capital","46015","Valencia","Valencia","Campanar","El Calvari - La Fe","39.4877405423","-0.3899684667","3","Profesional","House Paraiso Inmobiliaria","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/28f3e8f5-909d-4e19-b530-c30279883539G.jpg","https://www.milanuncios.com/anuncios/r540125450.htm","2025-03-29","946260175","i.houseparaisoinmobiliaria.10029@inmovilla.com","No","","","No","No contactado","8193","2","1","110","185000","1681","1","Muy baja"
