"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","525786073","Venta","Plurifamiliar","València","46021","Valencia","Valencia","Algirós","L'Amistat","39.4744965534","-0.3504377466","","Profesional","La Casa Agency Castelldefels Playa","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/13bcef76-3889-4c47-b0e9-d26a3012fb51G.jpg","https://www.milanuncios.com/anuncios/r525786073.htm","2024-10-03","930441945","lacasaagencycastelldefelsmaritie723@realestate.com","No","","","No","No contactado","1","3","1","107","379000","3542","57","Muy alta"
"milanuncios","523093684","Venta","Plurifamiliar","València","46006","Valencia","Valencia","L'Eixample","Russafa","39.4592806534","-0.3764488466","","Profesional","Person Inmobiliaria","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/099df916-4f75-4db0-bf2a-b5b9a18bceb2G.jpg","https://www.milanuncios.com/anuncios/r523093684.htm","2024-08-30","962647592","personinmobiliaria6e78@realestate.com","No","","","No","No contactado","2","3","2","120","560000","4666","91","Muy alta"
"milanuncios","523784869","Venta","Plurifamiliar","València","46008","Valencia","Valencia","Extramurs","Zona Botánico","39.4748934534","-0.3847778466","2","Profesional","A PEREZ PROYECTISTA SL","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/004915e1-64dc-4cae-ab5f-3262e50900ddG.jpg","https://www.milanuncios.com/anuncios/r523784869.htm","2024-09-09","960962073","seleccioninmobiliariavalencia48df@realestate.com","No","","","No","No contactado","3","2","2","62","280000","4516","81","Muy alta"
"milanuncios","528482274","Venta","Plurifamiliar","Algirós - Carrer de Josep d''Orga","46022","Valencia","Valencia","Algirós","Ciutat Jardí","39.4708947","-0.3444941","3","Profesional","gretel","No","Sí","No","No","Sí","No","No","No","","https://www.milanuncios.com/anuncios/r528482274.htm","2024-11-05","691212030","grupomonalvainmobiliaria@gmail.com","No","","","No","No contactado","4","4","2","120","349999","2916","14","Muy alta"
"habitaclia","V9918-8736","Venta","Plurifamiliar","","","Valencia","Valencia","Campanar","Campanar - La Fe","39.4825383408","-0.3973174972","0","Profesional","MOLMAR GESTION INMOBILIARIA E","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/7264b757-fd30-4329-9d4c-9689fe5376a1G.jpg","https://www.habitaclia.com/i8142004019450","2024-11-23","963532121","info@molmar.es","No","Muy bueno","","No","No contactado","5","3","2","100","260000","2600","1","Muy alta"
"milanuncios","530425204","Venta","Plurifamiliar","València","46010","Valencia","Valencia","El Pla del Real","Ciutat Universitària","39.4759644072","-0.3587384775","","Profesional","FRANCISCO JAVIER HIGÓN ROS","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/05e78bd7-23b0-4766-8ff4-f10a7aa3d568G.jpg","https://www.milanuncios.com/anuncios/r530425204.htm","2024-11-26","960961512","jhinmobiliariafe0e@realestate.com","No","","","No","No contactado","6","5","2","149","585000","3926","2","Muy alta"
"milanuncios","529376194","Venta","Plurifamiliar","València","46018","Valencia","Valencia","L'Olivereta","Tres Forques","39.4663669071","-0.4059661007","5","Profesional","AGENCIA WAKSMAN 2016 SL","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1afbd7e8-280a-4cb6-9de6-5e1b6fa74fc1G.jpg","https://www.milanuncios.com/anuncios/r529376194.htm","2024-11-13","962471048","expercasaencortscb67@realestate.com","No","","","No","No contactado","7","3","1","80","149900","1873","1","Muy alta"
"milanuncios","526506529","Venta","Plurifamiliar","València","46015","Valencia","Valencia","Benicalap","Barrio de Benicalap","39.4928074746","-0.3987306254","","Profesional","Segab 1997 S L","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0254b007-1af5-4bab-bf6c-6e155b8bf2f1G.jpg","https://www.milanuncios.com/anuncios/r526506529.htm","2024-10-10","962949374","gestoresdeinversionesinmobiliarea90@realestate.com","No","","","No","No contactado","8","2","1","68","216500","3183","48","Muy alta"
"milanuncios","529419528","Venta","Plurifamiliar","València","46008","Valencia","Valencia","Extramurs","La Petxina","39.4708340534","-0.3883513466","","Profesional","HABITALE San Marcelino","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/01b8b0d2-fa38-4d75-8fbd-0413645a1d67G.jpg","https://www.milanuncios.com/anuncios/r529419528.htm","2024-11-13","961288142","habitalesanmarcelino1df6@realestate.com","No","","","No","No contactado","9","4","2","126","330000","2619","16","Muy alta"
"milanuncios","529971904","Venta","Plurifamiliar","València","46022","Valencia","Valencia","Algirós","Ciutat Jardí","39.4733380534","-0.3430284466","","Profesional","LLAVE90 INMOBILIARIAS S L","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/00d0ed53-efeb-4ecb-be55-cf809f5d7e67G.jpg","https://www.milanuncios.com/anuncios/r529971904.htm","2024-11-20","962948657","llave90blascoibanezf9bd@realestate.com","No","","","No","No contactado","10","3","2","93","305000","3279","9","Muy alta"
"milanuncios","527007039","Venta","Plurifamiliar","València","46006","Valencia","Valencia","Quatre Carreres","Mont-Olivet","39.4587698244","-0.3675941133","","Profesional","Solvia Inmobiliaria","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/d23b7b82-fdd0-4f2e-8357-c82af218709fG.jpg","https://www.milanuncios.com/anuncios/r527007039.htm","2024-10-16","964931386","solviainmobiliariaaeed@realestate.com","No","","","No","No contactado","11","1","1","101","118600","1174","27","Muy alta"
"milanuncios","529240014","Venta","Plurifamiliar","València","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4676105265","-0.3413474735","","Profesional","Urbihouse","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0c009717-1f20-4953-8c86-f2f07a28a08eG.jpg","https://www.milanuncios.com/anuncios/r529240014.htm","2024-11-11","655574419","urbihousee390@realestate.com","No","","","No","No contactado","12","3","1","91","115000","1263","10","Muy alta"
"milanuncios","528670975","Venta","Plurifamiliar","València","46011","Valencia","Valencia","Poblats Marítims","La Malva-rosa","39.4812235035","-0.3302532965","2","Profesional","INMOBILIARIA PIQUER","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/00ab425b-1940-437c-8420-eb7b56deb382G.jpg","https://www.milanuncios.com/anuncios/r528670975.htm","2024-11-06","962470937","inmobiliariapiquer4531@realestate.com","No","","","No","No contactado","13","4","1","106","198000","1867","1","Muy alta"
"milanuncios","529086274","Venta","Plurifamiliar","València","46011","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4705455768","-0.3295395232","5","Profesional","Inmobiliaria Fran López","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/5e126bf6-d500-4dfe-b071-b6b2fa6822f0G.jpg","https://www.milanuncios.com/anuncios/r529086274.htm","2024-11-09","962949864","inmobiliariafranlopezdaa9@realestate.com","No","","","No","No contactado","14","3","1","90","235000","2611","3","Muy alta"
"milanuncios","528493269","Venta","Plurifamiliar","València","46014","Valencia","Valencia","L'Olivereta","La Llum","39.4672579949","-0.4134910851","","Profesional","Grupo Inmobiliario Selling House","Sí","Sí","No","Sí","No","No","No","No","https://images.habimg.com/imgh/083f6dcf-816c-4175-8be7-3a2c372bb4e1G.jpg","https://www.milanuncios.com/anuncios/r528493269.htm","2024-11-05","962647958","grupoinmobiliariosellinghouse46eb@realestate.com","No","","","No","No contactado","15","3","1","91","247000","2714","9","Muy alta"
"milanuncios","528230977","Venta","Plurifamiliar","València","46025","Valencia","Valencia","Benicalap","Barrio de Benicalap","39.4933014263","-0.3914283148","","Profesional","MOLMAR GESTION INMOBILIARIA E  S L","No","No","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r528230977.htm","2024-10-31","960967559","molmargestioninmobiliariae398b@realestate.com","No","","","No","No contactado","16","","","55","88000","1600","2","Muy alta"
