"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"habitaclia","631707","Venta","Plurifamiliar","Piso en venta en Valencia","","Valencia","Valencia","Campanar","Les Tendetes - Avenida Burjassot","39.4817920412","-0.3881923588","0","Profesional","TECNOCASA PESET","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/5d5dfc6a-1fb3-455d-b13b-7760065b95caG.jpg","https://www.habitaclia.com/i54077000000030","2025-10-29","34654331690","vaai0@tecnocasa.es","No","Muy bueno","","No","No contactado","10538","3","1","66","199000","3015","1","Muy baja"
"habitaclia","PIS0064","Venta","Plurifamiliar","ABASTOS. ESTUPENDO PISO PARA ENTRAR A VIVIR","","Valencia","Valencia","Extramurs","Arrancapins","39.4653766087","-0.39074086","0","Profesional","NovaTorrent","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/042e9b5e-adc2-4f82-a1b5-72aa0b7db1f8G.jpg","https://www.habitaclia.com/i18834004009741","2025-10-29","645 26 82 36","info@novatorrent.es","No","Muy bueno","","No","No contactado","7756","2","2","125","520000","4160","1","Muy baja"
"milanuncios","564438223","Venta","Plurifamiliar","Valencia Capital","46005","Valencia","Valencia","L'Eixample","Russafa","39.4639167007","-0.3652026918","1","Profesional","Huspy","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0f1fe4f8-0460-4cf8-aac5-e86fcfff60f7G.jpg","https://www.milanuncios.com/anuncios/r564438223.htm","2025-10-29","919453248","w3960@inmoweb.email","No","","","No","No contactado","9170","3","2","149","595000","3993","1","Muy baja"
"habitaclia","LCV39337-1","Venta","Plurifamiliar","","","Valencia","Valencia","Camins al Grau","Aiora","39.4635701412","-0.3455238588","3","Profesional","La Casa Agency - Punto Avenida Madrid","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0c004305-9531-4b99-89f0-8511458abd46G.jpg","https://www.habitaclia.com/i45074000004998","2025-10-29","930129090","08028b@lacasa.net","No","Muy bueno","","No","No contactado","10415","1","1","55","220000","4000","1","Muy baja"
"habitaclia","0297835","Venta","Unifamiliar","Próxima por la Plaza Salvador Allende","","Valencia","Valencia","Rascanya","Torrefiel","39.4926001412","-0.3754228588","0","Profesional","DONPISO","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0cc5ba73-c4e9-4df7-953b-0f656c2897a4G.jpg","https://www.habitaclia.com/i885003222796","2025-10-29","933069090","info@donpiso.com","No","Muy bueno","","No","No contactado","10569","2","1","61","150000","2459","1","Muy baja"
"Fotocasa","LCV39337-1","Venta","Plurifamiliar","Piso en Venta en Aiora","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4657428809","-0.3433511191","3º","Profesional","La Casa Agency - Punto Avenida Madrid","No","No","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/e831240e-2b0d-478a-99da-5c24622851db?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187986655&tti=2","2025-10-29","930442087","PUNTOAVMADRID@GMAIL.COM","No","Excelente","","No","No contactado","54","1","1","55","220000","4000","1","Muy alta"
"milanuncios","564387379","Venta","Plurifamiliar","Valencia Capital","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4705717452","-0.3427827548","4","Profesional","La Casa Agency Punto las Delicias","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/04e325dc-8537-49b1-87f6-fd039832defcG.jpg","https://www.milanuncios.com/anuncios/r564387379.htm","2025-10-29","962949342","46021a@lacasa.net","No","","","No","No contactado","11597","2","1","50","175000","3500","1","Muy baja"
"milanuncios","564428438","Venta","Plurifamiliar","Valencia Capital","46019","Valencia","Valencia","Rascanya","Orriols","39.4973638871","-0.366816135","Bajos","Profesional","cosmohabitat","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/771122a7-9e04-4972-ab46-28966a545e8cG.jpg","https://www.milanuncios.com/anuncios/r564428438.htm","2025-10-29","962948627","paco@cosmohabitat.com","No","","","No","No contactado","9091","1","1","61","145000","2377","1","Muy baja"
"milanuncios","564393275","Venta","Plurifamiliar","Valencia Capital","46001","Valencia","Valencia","Ciutat Vella","El Pilar","39.4730403155","-0.3787406052","1","Profesional","cosmohabitat","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/167e7119-cdd3-4eb5-b0e1-e66deff0bea6G.jpg","https://www.milanuncios.com/anuncios/r564393275.htm","2025-10-29","962948627","paco@cosmohabitat.com","No","","","No","No contactado","4288","2","2","91","479000","5263","1","Muy baja"
"milanuncios","564380253","Venta","Plurifamiliar","Valencia Capital","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4687396002","-0.3841010478","3","Profesional","NOSSA GESTIÓN INMOBILIARIA","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/3060bab4-fe69-4a84-8c14-46c41b87dc3bG.jpg","https://www.milanuncios.com/anuncios/r564380253.htm","2025-10-29","962640371","i.nossagestion.7819@inmovilla.com","No","","","No","No contactado","8822","5","2","143","314000","2195","1","Muy baja"
