"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","525019017","Venta","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","La Roqueta","39.46673534","-0.38250916","3","Profesional","MARCH OSCAR","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/10acac8a-b796-4fa9-8f9d-733af11afa0cG.jpg","https://www.milanuncios.com/anuncios/r525019017.htm","2024-09-27","962949834","marchinmobiliaria115b@realestate.com","No","","","No","No contactado","1","4","2","140","400000","2857","2","Muy alta"
"milanuncios","523909651","Venta","Plurifamiliar","València","46021","Valencia","Valencia","Algirós","La Carrasca","39.4780144913","-0.3535518447","","Profesional","ALAIN RETAIL S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0627701f-e37b-4c93-9533-c3d86d649c1aG.jpg","https://www.milanuncios.com/anuncios/r523909651.htm","2024-09-11","961281893","alaingrupof33d@realestate.com","No","","","No","No contactado","2","1","1","57","220000","3859","18","Muy alta"
"milanuncios","525000760","Venta","Plurifamiliar","València","46015","Valencia","Valencia","Campanar","Campanar - La Fe","39.483106596","-0.399126628","","Profesional","Ml Strategic Properties S L","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/039916f0-315e-4b0e-8fc2-afa999773b12G.jpg","https://www.milanuncios.com/anuncios/r525000760.htm","2024-09-27","962646172","holainmobiliariaab2f@realestate.com","No","","","No","No contactado","3","3","1","80","180000","2250","2","Muy alta"
"milanuncios","523624335","Venta","Plurifamiliar","València","46001","Valencia","Valencia","Ciutat Vella","El Pilar","39.471083835","-0.381160322","6","Profesional","HOGARABITAT SERVICIOS INMOBILIARIOS SOCIEDAD LIMIT","Sí","Sí","No","Sí","No","No","No","No","https://images.habimg.com/imgh/1ac5a45e-b80e-4984-b765-93459743d6efG.jpg","https://www.milanuncios.com/anuncios/r523624335.htm","2024-09-05","962470943","hogarabitatserviciosinmobiliari9459@realestate.com","No","","","No","No contactado","4","4","2","135","429000","3177","24","Muy alta"
"milanuncios","524134993","Venta","Plurifamiliar","València","46018","Valencia","Valencia","L'Olivereta","Nou Moles","39.4679996604","-0.4067751162","","Profesional","MOLMAR GESTION INMOBILIARIA E  S L","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/1f6b36e2-0872-4bc3-812d-be608c51e3bbG.jpg","https://www.milanuncios.com/anuncios/r524134993.htm","2024-09-14","960967559","molmargestioninmobiliariae398b@realestate.com","No","","","No","No contactado","5","1","1","62","69900","1127","1","Muy alta"
"milanuncios","523623857","Venta","Plurifamiliar","València","46019","Valencia","Valencia","Rascanya","Torrefiel","39.4919007738","-0.3770454598","","Profesional","CARLOS MARTINEZ COMPANY","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/4729a978-029d-4402-8ab3-066f0d1467cfG.jpg","https://www.milanuncios.com/anuncios/r523623857.htm","2024-09-05","962645539","gestoriasuasoris589d@realestate.com","No","","","No","No contactado","6","3","1","94","138000","1468","5","Muy alta"
"milanuncios","524840514","Venta","Plurifamiliar","València","46001","Valencia","Valencia","Ciutat Vella","El Mercat","39.4718338772","-0.3781882496","","Profesional","MOLMAR GESTION INMOBILIARIA E  S L","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/302fdbbf-a0e3-49ab-b4d3-f58ac8e5e8f0G.jpg","https://www.milanuncios.com/anuncios/r524840514.htm","2024-09-24","960967559","molmargestioninmobiliariae398b@realestate.com","No","","","No","No contactado","7","4","2","145","900000","6206","3","Muy alta"
"milanuncios","523841897","Venta","Plurifamiliar","Valencia","46001","Valencia","Valencia","Ciutat Vella","La Seu","39.4757268812","-0.3773631188","","Profesional","Aproperties","Sí","Sí","No","Sí","No","No","No","No","https://images.habimg.com/imgh/4737-img3822445-480328578G.jpg","https://www.milanuncios.com/anuncios/r523841897.htm","2024-09-10","962648135","apropertiesrealestatevalencia6ff9@realestate.com","No","","","No","No contactado","8","3","2","133","529000","3977","9","Muy alta"
"milanuncios","524802042","Venta","Plurifamiliar","València","46024","Valencia","Valencia","Poblats Marítims","El Grau","39.458857038","-0.340304943","Bajos","Profesional","RK VALENCIA MARKET  S L","No","No","No","No","No","No","Sí","No","https://images.habimg.com/imgh/0068a17f-8bd4-4086-8cd4-45092d5ca271G.jpg","https://www.milanuncios.com/anuncios/r524802042.htm","2024-09-24","962471038","realmark5831@realestate.com","No","","","No","No contactado","9","2","1","95","280000","2947","5","Muy alta"
"milanuncios","522613316","Venta","Plurifamiliar","Valencia","46014","Xirivella/Chirivella","Valencia","Barrio de la Luz","","39.461189766","-0.415233421","","Profesional","Mocadi Real Estate","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/017949fe-161e-40ed-8edf-856cb6e24e47G.jpg","https://www.milanuncios.com/anuncios/r522613316.htm","2024-08-22","962948361","mocadirealestate2d95@realestate.com","No","","","No","No contactado","10","1","2","90","195000","2166","38","Muy alta"
"milanuncios","524762640","Venta","Plurifamiliar","València","46022","Valencia","Valencia","Algirós","Ciutat Jardí","39.47241774","-0.34526036","7","Profesional","Vanegas Paternina Sl","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/07010854-5bd4-497a-a8e6-2ce38a5b18e8G.jpg","https://www.milanuncios.com/anuncios/r524762640.htm","2024-09-23","962644861","casacreativainmobiliariadd19@realestate.com","No","","","No","No contactado","11","4","2","117","323000","2760","6","Muy alta"
"habitaclia","LLOSAN-1289","Venta","Plurifamiliar","Venta de piso en València Capital. Sin ascensor","","Valencia","Valencia","Rascanya","Orriols","39.4942191711","-0.3703911989","0","Profesional","Llosan Asesores","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/187eb469-3472-4708-9dfa-c6707819841aG.jpg","https://www.habitaclia.com/i41809000001232","2024-09-26","658488706","ruben.llorens@llosan.com","No","Muy bueno","","No","No contactado","12","3","1","71","93000","1309","3","Muy alta"
"milanuncios","523760925","Venta","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","La Roqueta","39.46433804","-0.38110486","","Profesional","BUVIM INVESTMENT  S L","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0a9f81dd-a76e-46da-8a77-be31fa909430G.jpg","https://www.milanuncios.com/anuncios/r523760925.htm","2024-09-09","961281642","iliosrealestatefc84@realestate.com","No","","","No","No contactado","13","2","1","48","220000","4583","20","Muy alta"
"milanuncios","523939609","Venta","Plurifamiliar","València","46020","Valencia","Valencia","Benimaclet","Barrio de Benimaclet","39.48102284","-0.35991606","","Profesional","FORO INMOBILIARIO","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/045c65a8-8f64-41b0-836c-5e1835475c45G.jpg","https://www.milanuncios.com/anuncios/r523939609.htm","2024-09-11","960964284","foroinmobiliarioviveros4c1a@realestate.com","No","","","No","No contactado","14","2","2","109","370000","3394","18","Muy alta"
"milanuncios","525086757","Venta","Plurifamiliar","València","46018","Valencia","Valencia","L'Olivereta","Nou Moles","39.4688803242","-0.4058944524","","Profesional","MOLMAR GESTION INMOBILIARIA E  S L","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/00ff3064-756d-4120-b7a3-03c96a0ef43dG.jpg","https://www.milanuncios.com/anuncios/r525086757.htm","2024-09-28","960967559","molmargestioninmobiliariae398b@realestate.com","No","","","No","No contactado","15","3","1","58","127000","2189","1","Muy alta"
