"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","519973919","Alquiler","Plurifamiliar","València","46008","Valencia","Valencia","Extramurs","La Petxina","39.4730282943","-0.3887867057","3","Profesional","Yourentaflat S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0b9251bb-a56f-480c-bd0b-e3cb1ad5de68G.jpg","https://www.milanuncios.com/anuncios/r519973919.htm","2024-07-19","962949758","live4life7722@realestate.com","No","","","No","No contactado","1","3","2","120","1300","10","11","Muy alta"
"milanuncios","508926019","Alquiler","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","La Roqueta","39.4683447943","-0.3829452057","","Profesional","EV MMC SPAIN  S L U","Sí","Sí","No","Sí","No","No","Sí","No","https://images.habimg.com/imgh/00c55b8a-7880-4bd6-ba20-4d6668ea0c1bG.jpg","https://www.milanuncios.com/anuncios/r508926019.htm","2024-03-12","962646083","engelvolkers809d@realestate.com","No","","","No","No contactado","2","1","1","45","1350","30","140","Muy alta"
"habitaclia","AV2407021","Alquiler","Plurifamiliar","Piso en alquiler en el barrio del Carmen","","Valencia","Valencia","Ciutat Vella","El Carme","39.4782926072","-0.3820343928","0","Profesional","APROPERTIES REAL ESTATE - VALENCIA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/4737-img3821914-478986910G.jpg","https://www.habitaclia.com/i4737003821914","2024-07-04","961285965","eva.martinez-fortun@aproperties.es","No","Muy bueno","","No","No contactado","3","4","2","91","2350","25","26","Muy alta"
"habitaclia","1640","Alquiler","Plurifamiliar","ESPECTACULAR PISO EN BLASCO IBAÑEZ","","Valencia","Valencia","Algirós","La Carrasca","39.4720614072","-0.3387225928","0","Profesional","INMOAROA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1616053e-ff46-452c-932b-0bb6bff2453cG.jpg","https://www.habitaclia.com/i51826000000107","2024-07-04","960706587","felipe.urioste@inmoaroa.com","No","Muy bueno","","No","No contactado","4","2","3","100","1900","19","26","Muy alta"
"habitaclia","31","Alquiler","Plurifamiliar","","","Valencia","Valencia","Rascanya","Torrefiel","39.4923426072","-0.3760779928","3","Profesional","TECNOCASA LA PETXINA","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/35a90e31-9572-43d3-8adf-443c93a986b8G.jpg","https://www.habitaclia.com/i18348000000235","2024-07-26","655082749","va000@tecnocasa.es","No","Muy bueno","","No","No contactado","5","3","1","90","1200","13","4","Muy alta"
"milanuncios","519891519","Alquiler","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4607041943","-0.3836019057","","Profesional","IPISOS","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/2369891a-013c-4779-b193-7bb68b2a5184G.jpg","https://www.milanuncios.com/anuncios/r519891519.htm","2024-07-18","962949187","ipisosb78b@realestate.com","No","","","No","No contactado","6","3","1","113","1400","12","12","Muy alta"
"milanuncios","520525837","Alquiler","Plurifamiliar","València","46021","Valencia","Valencia","El Pla del Real","Mestalla","39.471402819","-0.3549069851","1","Profesional","Resthome Inmobiliaria","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0409d78d-1aef-47da-9f8e-2f7c46a2b2a7G.jpg","https://www.milanuncios.com/anuncios/r520525837.htm","2024-07-26","962648159","resthomeinmobiliariaf6bd@realestate.com","No","","","No","No contactado","7","2","1","89","1200","13","4","Muy alta"
"milanuncios","518439053","Alquiler","Plurifamiliar","Valencia Capital - C/ de la Corona","46003","Valencia","Valencia","Ciutat Vella","El Carme","39.4781","-0.382227","","Profesional","Aproperties","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/4737-img3821914-478986910G.jpg","https://www.milanuncios.com/anuncios/r518439053.htm","2024-07-04","962648135","apropertiesrealestatevalencia6ff9@realestate.com","No","","","No","No contactado","8","4","2","91","2350","25","26","Muy alta"
"milanuncios","520255519","Alquiler","Plurifamiliar","València","46006","Valencia","Valencia","Quatre Carreres","Mont-Olivet","39.4595544943","-0.3629324057","","Profesional","Uniplaces","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/00ff0a4e-4cac-461a-9b31-4dd29f9462a4G.jpg","https://www.milanuncios.com/anuncios/r520255519.htm","2024-07-23","919454608","uniplaces9f38@realestate.com","No","","","No","No contactado","9","1","1","40","1600","40","7","Muy alta"
"milanuncios","519864952","Alquiler","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","La Roqueta","39.4663704943","-0.3789330057","","Profesional","Yourentaflat S L","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/1fc0b759-3044-46bd-8794-bf32d3387697G.jpg","https://www.milanuncios.com/anuncios/r519864952.htm","2024-07-18","962949758","live4life7722@realestate.com","No","","","No","No contactado","10","3","1","95","1600","16","12","Muy alta"
