"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","517299124","Alquiler","Plurifamiliar","València","46006","Valencia","Valencia","L'Eixample","Russafa","39.458779448","-0.3721472071","","Profesional","Finaer","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/03e7f9d4-a8e2-47c7-bd98-991665ec9638G.jpg","https://www.milanuncios.com/anuncios/r517299124.htm","2024-06-20","696587039","inmobiliariascongarantiafinaere6e5@realestate.com","No","","","No","No contactado","1","3","1","70","1300","18","9","Muy alta"
"milanuncios","506467463","Alquiler","Plurifamiliar","València","46003","Valencia","Valencia","Ciutat Vella","La Xerea","39.4728429839","-0.3671635161","","Profesional","MM GR 2000 SL","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/06016645-e9b0-4024-ac37-2d3274e5ec00G.jpg","https://www.milanuncios.com/anuncios/r506467463.htm","2024-02-13","960967437","gr2000e71d@realestate.com","No","","","No","No contactado","2","3","2","150","2150","14","137","Muy alta"
"milanuncios","514825212","Alquiler","Plurifamiliar","València","46023","Valencia","Valencia","Camins al Grau","Penya - Roja - Avda. Francia","39.4583734839","-0.3433238161","","Profesional","HATO LLOPIS S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/078df647-8652-48c7-b41c-791ad1070be3G.jpg","https://www.milanuncios.com/anuncios/r514825212.htm","2024-05-28","960967582","desireehatoed87@realestate.com","No","","","No","No contactado","3","4","2","180","2100","11","32","Muy alta"
"habitaclia","VASU-VI-9-43_F","Alquiler","Plurifamiliar","PISO en Suiza","","Valencia","Valencia","Quatre Carreres","La Punta","39.4533252471","-0.3369904529","0","Profesional","Zittus Managemet","Sí","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/48675-img102-476326835G.jpg","https://www.habitaclia.com/i48675000000102","2024-05-28","919994171","skypark-valdebebas@zittus.com","No","Muy bueno","","No","No contactado","4","4","2","117","1835","15","32","Muy alta"
"milanuncios","491134383","Alquiler","Plurifamiliar","València","46013","Valencia","Valencia","Quatre Carreres","Na Rovella - Hermanos Maristas","39.4550550839","-0.3621446161","","Profesional","WEHOME","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/27f05f55-5e89-4903-b08a-af7c366bc1abG.jpg","https://www.milanuncios.com/anuncios/r491134383.htm","2023-07-18","670380736","wehomef165@realestate.com","No","","","No","No contactado","5","3","2","69","1100","15","347","Muy alta"
"milanuncios","517349925","Alquiler","Plurifamiliar","València","46011","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4640724839","-0.3293021161","","Profesional","Yourentaflat S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/16182b8b-ba49-4f57-b611-c40a4701e430G.jpg","https://www.milanuncios.com/anuncios/r517349925.htm","2024-06-20","955444401","live4life7722@realestate.com","No","","","No","No contactado","6","2","1","100","1200","12","9","Muy alta"
"milanuncios","512867833","Alquiler","Plurifamiliar","Valencia","46002","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.4691896839","-0.3786903161","","Profesional","Valencia Ma Casa","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/03c70ebd-7116-4b71-bd1c-9c27dbc7f1e2G.jpg","https://www.milanuncios.com/anuncios/r512867833.htm","2024-05-07","962940167","valenciamacasa388d@realestate.com","No","","","No","No contactado","7","5","3","220","2200","10","53","Muy alta"
"habitaclia","661494","Alquiler","Plurifamiliar","","","Valencia","Valencia","Ciutat Vella","El Mercat","39.4736977711","-0.3770224289","0","Profesional","Uniplaces","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/13999a81-6399-4a46-9f52-89f240d48801G.jpg","https://www.habitaclia.com/i50824000000649","2024-05-06","691111788","sofia.fonseca@uniplaces.com","No","Muy bueno","","No","No contactado","8","","1","39","1450","37","54","Muy alta"
"milanuncios","508926019","Alquiler","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","La Roqueta","39.4691616839","-0.3821283161","","Profesional","EV MMC SPAIN  S L U","Sí","Sí","No","Sí","No","No","Sí","No","https://images.habimg.com/imgh/00c55b8a-7880-4bd6-ba20-4d6668ea0c1bG.jpg","https://www.milanuncios.com/anuncios/r508926019.htm","2024-03-12","961287313","engelvolkers809d@realestate.com","No","","","No","No contactado","9","1","1","45","1350","30","109","Muy alta"
"milanuncios","513762709","Alquiler","Plurifamiliar","València","46005","Valencia","Valencia","L'Eixample","Zona Gran Via","39.4672986839","-0.3656483161","","Profesional","EV MMC SPAIN  S L U","Sí","Sí","No","Sí","No","No","No","No","https://images.habimg.com/imgh/18795501-7e08-44b5-ab5e-a52fec30f680G.jpg","https://www.milanuncios.com/anuncios/r513762709.htm","2024-05-16","961287313","engelvolkers809d@realestate.com","No","","","No","No contactado","10","3","2","95","2300","24","44","Muy alta"
