"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","524798146","Alquiler","Plurifamiliar","València","46014","Valencia","Valencia","L'Olivereta","Soternes","39.46972074","-0.40937726","7","Profesional","EV MMC SPAIN  S L U","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/03ad5dce-6514-4234-82a6-a41bcd5e67a0G.jpg","https://www.milanuncios.com/anuncios/r524798146.htm","2024-09-24","961287313","engelvolkers809d@realestate.com","No","","","No","No contactado","1","3","1","87","1500","17","5","Muy alta"
"milanuncios","524907800","Alquiler","Plurifamiliar","València","46022","Valencia","Valencia","Algirós","Ciutat Jardí","39.47344884","-0.34554896","","Profesional","ANUBIS KOOP SL","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/08f9d0e1-ef5f-4220-89df-c479b0721cebG.jpg","https://www.milanuncios.com/anuncios/r524907800.htm","2024-09-25","962644316","primergrupomarenostrumbab7@realestate.com","No","","","No","No contactado","2","4","1","100","1200","12","4","Muy alta"
"milanuncios","524235406","Alquiler","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","Arrancapins","39.46048674","-0.38659526","7","Profesional","CM PROPERTIES","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/00346233-482b-42f7-939b-1dc7d80fe1efG.jpg","https://www.milanuncios.com/anuncios/r524235406.htm","2024-09-16","962470759","cmproperties8e5d@realestate.com","No","","","No","No contactado","3","3","2","88","1700","19","13","Muy alta"
"milanuncios","523454894","Alquiler","Plurifamiliar","València","46006","Valencia","Valencia","L'Eixample","Russafa","39.46048774","-0.37810026","2","Profesional","EV MMC SPAIN  S L U","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/1062a362-c018-43f8-9331-93da78af137eG.jpg","https://www.milanuncios.com/anuncios/r523454894.htm","2024-09-05","961287313","engelvolkers809d@realestate.com","No","","","No","No contactado","4","2","1","59","1600","27","24","Muy alta"
"habitaclia","1634","Alquiler","Plurifamiliar","""UBICACIÓN PRIVILEGIADA"", EN LA CALLE CIRILO AMORÓS JUNTO A LA GRAN VÍA, CALLE COLÓN Y EL MERCADO DE COLÓN.","","Valencia","Valencia","L'Eixample","El Pla del Remei","39.4669395","-0.3721935","3","Profesional","ALAMEDA 10DT","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/15cd70b4-7ea3-4045-9246-ffc64bbbd1dfG.jpg","https://www.habitaclia.com/i43366000001025","2024-09-24","690062272","info@alameda10dt.com","No","Muy bueno","","No","No contactado","5","3","2","120","1800","15","5","Muy alta"
"milanuncios","506615048","Alquiler","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4643404592","-0.38347302","","Profesional","Pawel Tadeusz Barglik","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0a987432-4c96-457d-86d8-a78c68220f84G.jpg","https://www.milanuncios.com/anuncios/r506615048.htm","2024-02-15","962947856","arrelsvalencia7eea@realestate.com","No","","","No","No contactado","6","4","3","170","1600","9","222","Muy alta"
"milanuncios","522619933","Alquiler","Plurifamiliar","València","46004","Valencia","Valencia","L'Eixample","El Pla del Remei","39.4657775411","-0.3735074589","1","Profesional","EV MMC SPAIN  S L U","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0d5621de-c82f-4643-90e9-80e20087ca14G.jpg","https://www.milanuncios.com/anuncios/r522619933.htm","2024-08-22","962646083","engelvolkers809d@realestate.com","No","","","No","No contactado","7","3","2","100","1500","15","12","Muy alta"
"milanuncios","524409758","Alquiler","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","La Roqueta","39.4711382983","-0.3809132017","","Profesional","Yourentaflat S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/04819fad-1c3d-485f-9c94-2745cc7f8872G.jpg","https://www.milanuncios.com/anuncios/r524409758.htm","2024-09-18","962949758","live4life7722@realestate.com","No","","","No","No contactado","8","2","2","72","1390","19","2","Muy alta"
"milanuncios","520472317","Alquiler","Plurifamiliar","València","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4647898662","-0.3488337338","","Profesional","Yourentaflat S L","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/08da47b3-8356-4d4f-b6d3-833ba9efc600G.jpg","https://www.milanuncios.com/anuncios/r520472317.htm","2024-07-25","962949758","live4life7722@realestate.com","No","","","No","No contactado","9","4","1","100","1690","16","38","Muy alta"
"habitaclia","IA-0124","Alquiler","Plurifamiliar","","","Valencia","Valencia","Algirós","L'Illa Perduda","39.4676113813","-0.3374615187","0","Profesional","ILIOS REAL ESTATE","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/081d616d-aeb3-42ff-9b48-7a6badb0c01aG.jpg","https://www.habitaclia.com/i21746000000520","2024-07-29","658.711.503","info@iliorealestate.com","No","Muy bueno","","No","No contactado","10","4","2","124","1600","12","38","Muy alta"
"milanuncios","524662487","Alquiler","Plurifamiliar","València","46004","Valencia","Valencia","L'Eixample","El Pla del Remei","39.4720851808","-0.3681728192","","Profesional","FINCAS CAVET MAR 99 S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/07197590-07ea-4f8f-9e10-2eb1a67ab2b9G.jpg","https://www.milanuncios.com/anuncios/r524662487.htm","2024-09-21","977931472","fincascavetmar1bd4@realestate.com","No","","","No","No contactado","11","3","2","105","800","7","1","Muy alta"
"habitaclia","1369","Alquiler","Plurifamiliar","Piso en Alquiler de 1 habitación en Ciutat Vella","","Valencia","Valencia","Ciutat Vella","La Seu","39.4759289377","-0.3760200623","0","Profesional","CM PROPERTIES","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/12c4f05c-18cf-436c-893b-90af727a89dfG.jpg","https://www.habitaclia.com/i50179000000270","2024-07-24","677523211","team@cmproperties.es","No","Muy bueno","","No","No contactado","12","1","1","60","1500","25","62","Muy alta"
"milanuncios","518248835","Alquiler","Plurifamiliar","València","46006","Valencia","Valencia","Quatre Carreres","Mont-Olivet","39.4565996449","-0.3696033551","","Profesional","CM PROPERTIES","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/225db119-d6cc-49a4-9da5-2fdde3800f8fG.jpg","https://www.milanuncios.com/anuncios/r518248835.htm","2024-07-02","962470759","cmproperties8e5d@realestate.com","No","","","No","No contactado","13","3","2","96","1500","15","83","Muy alta"
"habitaclia","FLP85","Alquiler","Plurifamiliar","PISO DE ALQUILER EN CALLE FILIPINAS, RUZAFA","","Valencia","Valencia","L'Eixample","Russafa","39.456966813","-0.37884414","5","Profesional","CASUA PARQUE CENTRAL","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/05bc968e-7aba-4ce6-b92e-e2328612a45dG.jpg","https://www.habitaclia.com/i29345000000341","2024-08-27","963314882","parquecentral@casua.es","No","Muy bueno","","No","No contactado","14","2","1","80","1100","13","6","Muy alta"
"milanuncios","522559074","Alquiler","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4651526059","-0.3856383941","","Profesional","EV MMC SPAIN  S L U","No","Sí","No","Sí","No","No","Sí","No","https://images.habimg.com/imgh/0ce7deea-f86f-4e42-b1a4-1aba19989bbbG.jpg","https://www.milanuncios.com/anuncios/r522559074.htm","2024-08-21","961287313","engelvolkers809d@realestate.com","No","","","No","No contactado","15","4","2","124","1800","14","19","Muy alta"
"milanuncios","523941769","Alquiler","Plurifamiliar","València","46022","Valencia","Valencia","Algirós","Ciutat Jardí","39.4712229006","-0.3441150994","1","Profesional","Yourentaflat S L","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/02d6c09d-bf1a-4246-a439-7236cda29f5aG.jpg","https://www.milanuncios.com/anuncios/r523941769.htm","2024-09-11","962949758","live4life7722@realestate.com","No","","","No","No contactado","16","4","2","120","1400","11","7","Muy alta"
"milanuncios","522726562","Alquiler","Plurifamiliar","València","46006","Valencia","Valencia","Quatre Carreres","Mont-Olivet","39.4633186601","-0.3619672315","3","Profesional","TOTAL HABITAT","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0040f89b-e339-441f-bd0e-6fa65af0cb8dG.jpg","https://www.milanuncios.com/anuncios/r522726562.htm","2024-08-24","961046750","totalhabitat3788@realestate.com","No","","","No","No contactado","17","2","1","76","1100","14","9","Muy alta"
"milanuncios","522062310","Alquiler","Plurifamiliar","Valencia Capital - C/ de Finlàndia","46010","Valencia","Valencia","El Pla del Real","Mestalla","39.472","-0.359552","","Profesional","Aproperties","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/4737-img3822245-480198361G.jpg","https://www.milanuncios.com/anuncios/r522062310.htm","2024-08-12","962648135","apropertiesrealestatevalencia6ff9@realestate.com","No","","","No","No contactado","18","2","2","80","1500","18","23","Muy alta"
"milanuncios","523944814","Alquiler","Plurifamiliar","València","46015","Valencia","Valencia","Campanar","Sant Pau - Zona Palau de Congresos - Nou Campanar","39.4861151949","-0.3982793351","","Profesional","VIVIRIA SOLUCIONES SL","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/1382e40d-7f9e-4998-aee7-5327ac582582G.jpg","https://www.milanuncios.com/anuncios/r523944814.htm","2024-09-11","962646173","viviriasolucionessld179@realestate.com","No","","","No","No contactado","19","4","1","100","1000","10","1","Muy alta"
"milanuncios","474346899","Alquiler","Plurifamiliar","Barrio Patraix - PIO XI","46002","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.4698391","-0.3767956","2","Particular","","No","No","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r474346899.htm","2023-01-09","","","No","","","No","No contactado","20","2","1","63","730","11","629","Muy alta"
"habitaclia","goihyhgr-05","Alquiler","Plurifamiliar","","","Valencia","Valencia","Algirós","La Carrasca","39.4777629","-0.3464906","0","Profesional","COSTADORADA-VILLAS SL","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0e6eeeda-d770-4675-b543-d2c88c0b5d61G.jpg","https://www.habitaclia.com/i8762004416688","2024-09-28","619746447","ricard@costadorada-villas.com","No","Muy bueno","","No","No contactado","21","2","2","85","650","7","1","Muy alta"
"milanuncios","524952063","Alquiler","Unifamiliar","València","46011","Valencia","Valencia","Poblats Marítims","La Malva-rosa","39.47518074","-0.32689926","","Profesional","EV MMC SPAIN  S L U","Sí","No","No","No","No","No","Sí","No","https://images.habimg.com/imgh/02755199-236f-4ada-8d0d-5089f3ac0383G.jpg","https://www.milanuncios.com/anuncios/r524952063.htm","2024-09-26","961287313","engelvolkers809d@realestate.com","No","","","No","No contactado","22","3","2","144","2800","19","3","Muy alta"
"milanuncios","524742903","Alquiler","Plurifamiliar","Valencia Capital - C/ de Bilbao","46009","Valencia","Valencia","La Saïdia","Sant Antoni","39.4874","-0.372541","","Profesional","Aproperties","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/4737-img3822583-480343060G.jpg","https://www.milanuncios.com/anuncios/r524742903.htm","2024-09-23","962648135","apropertiesrealestatevalencia6ff9@realestate.com","No","","","No","No contactado","23","3","2","95","1100","11","2","Muy alta"
"milanuncios","523088237","Alquiler","Plurifamiliar","València","46011","Valencia","Valencia","Poblats Marítims","La Malva-rosa","39.4819269662","-0.3282928338","3","Profesional","Yourentaflat S L","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/060d8dc7-7a2e-4a1b-b103-599b8283e488G.jpg","https://www.milanuncios.com/anuncios/r523088237.htm","2024-08-30","962949758","live4life7722@realestate.com","No","","","No","No contactado","24","3","1","90","1150","12","2","Muy alta"
"milanuncios","524668947","Alquiler","Plurifamiliar","València","46022","Valencia","Valencia","Algirós","L'Illa Perduda","39.4670158449","-0.3437390551","","Profesional","Marta Gamallo","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0fd93952-eb1a-409d-a196-12d0e06a6c33G.jpg","https://www.milanuncios.com/anuncios/r524668947.htm","2024-09-22","986936142","martagamallogonzalezdc1c@realestate.com","No","","","No","No contactado","25","2","1","60","450","7","1","Muy alta"
"milanuncios","523349034","Alquiler","Plurifamiliar","València","46011","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4671677399","-0.3313495601","4","Profesional","Mayor Realty Services  Sociedad Limitada","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0440f5dc-54d1-41ea-ae5b-f02db5766fdaG.jpg","https://www.milanuncios.com/anuncios/r523349034.htm","2024-09-03","963551699","franciscamayor11b0@realestate.com","No","","","No","No contactado","26","3","1","80","900","11","1","Muy alta"
"milanuncios","524697623","Alquiler","Plurifamiliar","València","46021","Valencia","Valencia","Algirós","La Carrasca","39.4760195449","-0.3482339551","","Profesional","Marta Gamallo","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/05f9ed2d-2236-4712-bf25-116dd7fa3720G.jpg","https://www.milanuncios.com/anuncios/r524697623.htm","2024-09-22","986936142","martagamallogonzalezdc1c@realestate.com","No","","","No","No contactado","27","3","2","105","700","6","1","Muy alta"
"milanuncios","523680485","Alquiler","Plurifamiliar","València","46021","Valencia","Valencia","Algirós","La Carrasca","39.477406556","-0.346846944","3","Profesional","SOLER MARTOS 21 S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0679343a-a473-4192-a78a-9dd80c90a307G.jpg","https://www.milanuncios.com/anuncios/r523680485.htm","2024-09-07","977932176","inmocasareus7d21@realestate.com","No","","","No","No contactado","28","2","2","75","500","6","1","Muy alta"
"milanuncios","523478945","Alquiler","Plurifamiliar","Blasco Ibañez","46010","Valencia","Valencia","La Saïdia","Trinitat","39.4849472046","-0.3669663072","5","Particular","","No","No","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r523478945.htm","2024-09-05","","","No","","","No","No contactado","29","1","1","15","350","23","1","Muy alta"
"milanuncios","525043911","Alquiler","Plurifamiliar","Rascanya","46022","Valencia","Valencia","Algirós","La Carrasca","39.4771343394","-0.340591766","3","Profesional","soraya","No","No","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r525043911.htm","2024-09-27","685509385","inmosoraya@hotmail.com","No","","","No","No contactado","30","4","1","90","1000","11","2","Muy alta"
"milanuncios","523723624","Alquiler","Plurifamiliar","Orriols - Carrer de l''Arquitecte Tolsà","46019","Valencia","Valencia","Rascanya","Sant Llorenç - Zona Alfahuir","39.4928443","-0.3668117","6","Particular","","No","Sí","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r523723624.htm","2024-09-08","","","No","","","No","No contactado","31","2","1","65","750","11","1","Muy alta"
"milanuncios","525052827","Alquiler","Plurifamiliar","València","46004","Valencia","Valencia","L'Eixample","El Pla del Remei","39.4708709036","-0.3693870964","2","Profesional","BARCOJO BOHORQUEZ  MIGUEL","Sí","Sí","No","No","No","No","Sí","No","https://images.habimg.com/imgh/0016c423-2f90-4ec7-871d-62248476c8ffG.jpg","https://www.milanuncios.com/anuncios/r525052827.htm","2024-09-27","931333425","cmgestionesinmobiliarias90ec@realestate.com","No","","","No","No contactado","32","3","3","110","800","7","1","Muy alta"
"milanuncios","522226596","Alquiler","Plurifamiliar","València","46008","Valencia","Valencia","Extramurs","Arrancapins","39.4662046059","-0.3871323941","","Profesional","EV MMC SPAIN  S L U","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/000639a4-e66f-4168-bc06-620f724a9c95G.jpg","https://www.milanuncios.com/anuncios/r522226596.htm","2024-08-14","961287313","engelvolkers809d@realestate.com","No","","","No","No contactado","33","3","1","95","1300","13","26","Muy alta"
"milanuncios","523342319","Alquiler","Plurifamiliar","València","46006","Valencia","Valencia","Quatre Carreres","Mont-Olivet","39.46144359","-0.36490471","3","Profesional","Chulia Fuentes Servicios Inmobiliarios","Sí","Sí","No","Sí","No","No","No","No","https://images.habimg.com/imgh/0fa6a141-80a2-4775-8668-7047e30891c2G.jpg","https://www.milanuncios.com/anuncios/r523342319.htm","2024-09-03","962645643","chuliafuentesinmobiliaria2434@realestate.com","No","","","No","No contactado","34","3","1","99","1200","12","7","Muy alta"
"milanuncios","525055023","Alquiler","Plurifamiliar","València","46019","Valencia","Valencia","Rascanya","Torrefiel","39.4964553036","-0.3748792964","","Profesional","BARCOJO BOHORQUEZ  MIGUEL","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1994a68f-a19e-4678-82bd-ee5f5924bf91G.jpg","https://www.milanuncios.com/anuncios/r525055023.htm","2024-09-27","931333425","cmgestionesinmobiliarias90ec@realestate.com","No","","","No","No contactado","35","2","1","65","405","6","1","Muy alta"
