"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","542368069","Alquiler","Plurifamiliar","Valencia Capital","46020","Valencia","Valencia","Benimaclet","Barrio de Benimaclet","39.48424006","-0.3612740008","2","Profesional","ENTRE2 SERVICIOS INMOBILIARIOS","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/12d78338-6d4d-4c6d-abf2-8acf4499f08fG.jpg","https://www.milanuncios.com/anuncios/r542368069.htm","2025-04-28","962643178","i.entre2serviciosinmobiliarios.2017.11@inmovilla.com","No","","","No","No contactado","279","3","1","85","900","10","1","Muy alta"
"Fotocasa","003003","Alquiler","Plurifamiliar","Piso en Alquiler en  Historiador Diago, Arrancapins","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4675463486","-0.3839314014","2º","Profesional","INMOLOFT SUR BAHIA","No","Sí","Sí","No","No","No","No","No","https://static.fotocasa.es/images/ads/3f943805-7f3f-4211-9b9e-8803d4e0d4bf?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186336658&tti=2","2025-04-28","34629414512","501624@inbox.habitatsoft.com","No","Bueno","","No","No contactado","2583","2","2","80","800","10","1","Moderada"
"milanuncios","542363878","Alquiler","Plurifamiliar","Valencia Capital","46013","Valencia","Valencia","Quatre Carreres","Fonteta de Sant Lluís","39.4453599129","-0.3662261871","","Profesional","RACASA TORRES DE QUART","Sí","Sí","No","Sí","No","No","No","No","https://images.habimg.com/imgh/17d6543c-6f99-4853-b1f9-673488f68a45G.jpg","https://www.milanuncios.com/anuncios/r542363878.htm","2025-04-28","960965722","iagestion_2020@iagestion.com","No","","","No","No contactado","7976","1","1","48","1100","22","1","Muy baja"
"habitaclia","12486","Alquiler","Plurifamiliar","SE ALQUILA PISO DE TRES HABITACIONES EN BENIMACLET","","Valencia","Valencia","Benimaclet","Barrio de Benimaclet","39.484967008","-0.3605470528","2","Profesional","ENTRE2 SERVICIOS INMOBILIARIOS","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/12d78338-6d4d-4c6d-abf2-8acf4499f08fG.jpg","https://www.habitaclia.com/i9439001905620","2025-04-28","647427733","i.entre2serviciosinmobiliarios.2017@inmovilla.com","No","Muy bueno","","No","No contactado","5585","3","1","85","900","10","1","Muy baja"
"habitaclia","63591cc6e76f","Alquiler","Plurifamiliar","Excelente piso en la zona del rio","","Valencia","Valencia","Quatre Carreres","Mont-Olivet","39.4572639","-0.3623355","3","Particular","","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/26586a38-f748-4947-8705-af268de79feaG.jpg","https://www.habitaclia.com/i500006023444","2025-04-28","651916138","javiebe001@gmail.com","No","Muy bueno","","No","No contactado","8716","3","2","106","1400","13","1","Muy baja"
"habitaclia","1718842","Alquiler","Plurifamiliar","RACASA TORRES DE QUART te presenta en exclusiva esta vivienda AMUEBLADA COMPLETAMENTE, A ESTRENAR EN ALQUILER, en una de las zonas","","Valencia","Valencia","Quatre Carreres","Fonteta de Sant Lluís","39.4460868609","-0.3654992391","0","Profesional","RACASA TORRES DE QUART","Sí","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/17d6543c-6f99-4853-b1f9-673488f68a45G.jpg","https://www.habitaclia.com/i10195003734879","2025-04-28","607141035","i.miinmobiliaria@inmovilla.com","No","Muy bueno","","No","No contactado","5742","1","1","48","1100","22","1","Muy baja"
"Fotocasa","003003","Alquiler","Plurifamiliar","Piso en Alquiler en  Historiador Diago, Arrancapins","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4675463486","-0.3839314014","2º","Profesional","INMOLOFT SUR BAHIA","No","Sí","Sí","No","No","No","No","No","https://static.fotocasa.es/images/ads/3f943805-7f3f-4211-9b9e-8803d4e0d4bf?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186336658&tti=2","2025-04-28","34629414512","501624@inbox.habitatsoft.com","No","Bueno","","No","No contactado","2584","2","2","80","800","10","1","Moderada"
"milanuncios","542324330","Alquiler","Plurifamiliar","Valencia Capital","46003","Valencia","Valencia","Ciutat Vella","El Carme","39.4759444129","-0.3821658871","3","Profesional","GRUPO 90 CENTRAL","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0748e5d8-a717-4016-a14f-7c74af223ec4G.jpg","https://www.milanuncios.com/anuncios/r542324330.htm","2025-04-28","960963683","publicidad@grupo90.es","No","","","No","No contactado","9152","2","1","70","1800","25","1","Muy baja"
"habitaclia","003003","Alquiler","Plurifamiliar","Apartamento moderno en alquiler","","Valencia","Valencia","Extramurs","Arrancapins","39.4673986609","-0.3840790891","2","Profesional","INMOLOFT SUR BAHIA","No","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/01147a30-843b-4c3d-b59c-1daa0c605482G.jpg","https://www.habitaclia.com/i50965000000194","2025-04-28","636915272","inmoloft.rosana@gmail.com","No","Muy bueno","","No","No contactado","4667","2","2","80","800","10","1","Muy baja"
"Fotocasa","1718842","Alquiler","Plurifamiliar","Piso en Alquiler en  carrer  otos, Fonteta de Sant Lluís","46013","Valencia","Valencia","Quatre Carreres","Fonteta de Sant Lluís","39.4462345486","-0.3653515514","Undefined","Profesional","RACASA TORRES DE QUART","Sí","Sí","Sí","Sí","No","Sí","No","No","https://static.fotocasa.es/images/ads/faa17e7f-33fd-40b6-9289-a409647d3897?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186336152&tti=2","2025-04-28","960965722","iagestion_2020@iagestion.com","No","Excelente","","No","No contactado","8275","1","1","48","1100","22","1","Muy baja"
