"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"Fotocasa","","Alquiler","Plurifamiliar","Piso en Alquiler en  Carrer del Pic Caroig, 10, El Castellar i l'Oliverar","46026","Valencia","Valencia","El Castellar i l'Oliverar","","39.4315467","-0.3625339","","Particular","paraidealista12","Sí","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/anuncio/2025/08/29/187423526/4712244574.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187423526&tti=1","2025-08-29","34617407768","paraidealista12@gmail.com","No","Muy bueno","","No","No contactado","1835","1","1","50","800","16","1","Moderada"
"milanuncios","555521009","Alquiler","Plurifamiliar","Valencia Capital","46021","Valencia","Valencia","Algirós","L'Amistat","39.4727061245","-0.3534783725","1","Profesional","GRUPO HOGARES INMOBILIARIAS","Sí","Sí","No","Sí","No","No","Sí","No","https://images.habimg.com/imgh/012dd783-3346-4adb-9fa6-2b9d84841069G.jpg","https://www.milanuncios.com/anuncios/r555521009.htm","2025-08-29","962645217","i.grupohogaresinmobiliarias.6928@inmovilla.com","No","","","No","No contactado","4145","3","1","81","1399","17","1","Muy baja"
"milanuncios","555517297","Alquiler","Plurifamiliar","Cuatre carreres - Av. del Professor Lóp","46013","Valencia","Valencia","Quatre Carreres","Ciutat de les Ciències i de les Arts - Justicia","39.4559624","-0.3552235","6","Particular","","No","Sí","Sí","Sí","Sí","Sí","Sí","No","","https://www.milanuncios.com/anuncios/r555517297.htm","2025-08-29","","","No","","","No","No contactado","3827","3","2","131","2200","16","1","Muy baja"
"Fotocasa","P4914","Alquiler","Plurifamiliar","Piso en Alquiler en Exposició","46010","Valencia","Valencia","El Pla del Real","Exposició","39.4743883614","-0.3657555386","4º","Profesional","Person Inmobiliaria","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/15feac8f-d77e-4311-be97-7b1acd1e805b?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187420223&tti=2","2025-08-29","962647592","kem@inbox.witei.com","No","Bueno","","No","No contactado","9342","4","3","155","2500","16","1","Muy baja"
"habitaclia","MURILLO","Alquiler","Plurifamiliar","MURILLO","","Valencia","Valencia","Ciutat Vella","El Pilar","39.4753041496","-0.3823561504","4","Profesional","DESIREE HATO","Sí","Sí","No","No","Sí","No","No","No","https://images.habimg.com/imgh/05c0cd26-1a8f-495b-b0f1-78147dbd2f37G.jpg","https://www.habitaclia.com/i20929000002835","2025-08-29","963.446.010","elisaquinza@desireeinmuebles.com","No","Muy bueno","","No","No contactado","3956","1","1","69","1600","23","1","Muy baja"
"habitaclia","PEDRO ALEIXANDRE","Alquiler","Plurifamiliar","PEDRO ALEIXANDRE","","Valencia","Valencia","Quatre Carreres","Mont-Olivet","39.4605743496","-0.3634147504","2","Profesional","DESIREE HATO","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0f2d6c77-149c-4e88-b98a-b1a73cdc4663G.jpg","https://www.habitaclia.com/i20929000002812","2025-08-29","963.446.010","elisaquinza@desireeinmuebles.com","No","Muy bueno","","No","No contactado","5389","3","2","83","1200","14","1","Muy baja"
"habitaclia","AV2508075","Alquiler","Plurifamiliar","Piso en alquiler en El Pilar","","Valencia","Valencia","Ciutat Vella","El Pilar","39.4737726496","-0.3825043504","0","Profesional","APROPERTIES REAL ESTATE - VALENCIA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/05c90bcc-0e65-4f2d-97d6-6822a9f17584G.jpg","https://www.habitaclia.com/i4737003825851","2025-08-29","623016964","eva.martinez-fortun@aproperties.es","No","Muy bueno","","No","No contactado","8629","1","1","60","1300","21","1","Muy baja"
"Fotocasa","a538ablasc4d","Alquiler","Plurifamiliar","Piso en Alquiler en  BLASCO IBAÑEZ, La Bega Baixa - Plaza Xúquer","46021","Valencia","Valencia","Algirós","La Bega Baixa - Plaza Xúquer","39.4754741168","-0.3506165157","5º","Profesional","ARQT VALENCIA","Sí","Sí","No","No","Sí","No","No","No","https://static.fotocasa.es/images/ads/5ffd655b-440d-4588-9238-bf34bb22046a?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187423844&tti=2","2025-08-29","960967527","jgil@arqtvalencia.es","No","Bueno","","No","No contactado","7945","4","2","110","1800","16","1","Muy baja"
"milanuncios","555505066","Alquiler","Plurifamiliar","La Petxina - Carrer d''Azcárraga","46008","Valencia","Valencia","Extramurs","La Petxina","39.4745483","-0.3882532","5","Particular","","No","Sí","No","Sí","Sí","No","No","No","","https://www.milanuncios.com/anuncios/r555505066.htm","2025-08-29","","","No","","","No","No contactado","1032","1","2","25","380","15","1","Baja"
"habitaclia","2434","Alquiler","Unifamiliar","Adosado de 4 habitaciones 3 habitaciones","","Valencia","Valencia","El Perellonet","","39.2942326496","-0.2859673504","0","Profesional","CM PROPERTIES","No","No","No","No","No","Sí","No","No","https://images.habimg.com/imgh/0dd3896d-47d3-4004-ae64-06dacdaeba84G.jpg","https://www.habitaclia.com/i50179000001013","2025-08-29","677523211","team@cmproperties.es","No","Muy bueno","","No","No contactado","7787","4","3","120","2200","18","1","Muy baja"
"Fotocasa","022458","Alquiler","Plurifamiliar","Piso en Alquiler en  Gaviotas, El Perellonet","46012","Valencia","Valencia","El Perellonet","","39.2958325624","-0.2880781882","1º","Profesional","GRUP NOU MILENI","Sí","Sí","Sí","Sí","Sí","Sí","No","No","https://static.fotocasa.es/images/ads/c03b0cc5-46a7-4e20-b872-63d330156e21?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187420730&tti=2","2025-08-29","961281036","info@grupnoumileni.com","No","Bueno","","No","No contactado","4850","3","2","90","1500","16","1","Muy baja"
"milanuncios","555489579","Alquiler","Plurifamiliar","Valencia Capital","46015","Valencia","Valencia","Campanar","Sant Pau - Zona Palau de Congresos - Nou Campanar","39.4867544305","-0.4041703045","10","Profesional","RK SIRVAL","Sí","Sí","No","Sí","No","No","Sí","No","https://images.habimg.com/imgh/08267386-b838-4aa8-a81b-75f952c1fc94G.jpg","https://www.milanuncios.com/anuncios/r555489579.htm","2025-08-29","962649951","silviagarcia@rksirval.es","No","","","No","No contactado","4585","3","2","139","1999","14","1","Muy baja"
"habitaclia","022458","Alquiler","Plurifamiliar","Alquiler de piso en València Capital, El Perellonet","","Valencia","Valencia","El Perellonet","","39.2959284359","-0.2879823147","1","Profesional","GRUP NOU MILENI","Sí","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/01aac9d6-5ce3-4440-9fa3-97ee7d5a8a93G.jpg","https://www.habitaclia.com/i10048000018670","2025-08-29","961842600","info@grupnoumileni.com","No","Muy bueno","","No","No contactado","3353","3","2","90","1500","16","1","Muy baja"
"milanuncios","555532228","Alquiler","Plurifamiliar","Valencia Capital","46014","Valencia","Valencia","Patraix","Vara de Quart","39.4602705005","-0.4116622535","2","Profesional","Hogares Valencia","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/01722fe4-6e32-40a6-9f75-62ca4b4b6e09G.jpg","https://www.milanuncios.com/anuncios/r555532228.htm","2025-08-29","960965818","i.hogaresvalenciasc.13006@inmovilla.com","No","","","No","No contactado","8324","1","2","138","1300","9","1","Muy baja"
"habitaclia","BELGICA","Alquiler","Plurifamiliar","BELGICA","","Valencia","Valencia","El Pla del Real","Mestalla","39.4724634496","-0.3564522504","0","Profesional","DESIREE HATO","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/03a50496-0f54-42cb-9916-1cbc2988f656G.jpg","https://www.habitaclia.com/i20929000002817","2025-08-29","963.446.010","elisaquinza@desireeinmuebles.com","No","Muy bueno","","No","No contactado","5503","2","1","66","1450","21","1","Muy baja"
"habitaclia","ADRESSADORS","Alquiler","Plurifamiliar","ADRESSADORS","","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.4713810496","-0.3787356504","7","Profesional","DESIREE HATO","Sí","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/0b0dd0b2-fc18-4ada-a272-cb883e25a719G.jpg","https://www.habitaclia.com/i20929000002858","2025-08-29","963.446.010","elisaquinza@desireeinmuebles.com","No","Muy bueno","","No","No contactado","7690","3","2","130","2600","20","1","Muy baja"
"Fotocasa","03694","Alquiler","Plurifamiliar","Piso en Alquiler en Sant Pau","46015","Valencia","Valencia","Campanar","Sant Pau - Zona Palau de Congresos - Nou Campanar","39.4853428204","-0.4055819146","10º","Profesional","RK SIRVAL","Sí","Sí","Sí","Sí","Sí","Sí","Sí","No","https://static.fotocasa.es/images/ads/83349004-efb5-4178-adfd-36891da92337?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187420055&tti=2","2025-08-29","962649951","silviagarcia@rksirval.es","No","Excelente","","No","No contactado","4844","3","2","139","1999","14","1","Muy baja"
"milanuncios","555492542","Alquiler","Plurifamiliar","Valencia Capital","46010","Valencia","Valencia","El Pla del Real","Exposició","39.4757999715","-0.3643439285","4","Profesional","Person Inmobiliaria","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1194aeb5-bed0-4e3e-940f-57a3b3eb0682G.jpg","https://www.milanuncios.com/anuncios/r555492542.htm","2025-08-29","962647592","kem@inbox.witei.com","No","","","No","No contactado","8006","4","3","155","2500","16","1","Muy baja"
