"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"Fotocasa","02304","Alquiler","Plurifamiliar","Piso en Alquiler en Mont-Olivet","46006","Valencia","Valencia","Quatre Carreres","Mont-Olivet","39.46041224","-0.3666822816","1º","Profesional","Blue Ray Real Estate S.L.","No","Sí","No","No","Sí","No","No","No","https://static.fotocasa.es/images/ads/9fc2c007-0fad-4160-a9c6-ed52f499599c?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188347687&tti=2","2025-12-12","960963418","info@bluerayrealestate.com","No","Bueno","","No","No contactado","741","1","1","76","900","11","1","Muy alta"
"milanuncios","571220646","Alquiler","Plurifamiliar","Valencia Capital","46008","Valencia","Valencia","Extramurs","La Petxina","39.4716187799","-0.3866272201","3","Profesional","VERTECASA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0449812b-1584-45f7-b2e7-75e7a959d452G.jpg","https://www.milanuncios.com/anuncios/r571220646.htm","2025-12-12","962648193","vertecasa@vertecasa.com","No","","","No","No contactado","4867","2","1","45","1080","24","1","Muy baja"
"habitaclia","830870","Alquiler","Plurifamiliar","","","Valencia","Valencia","Camins al Grau","Aiora","39.4624836147","-0.3412804853","0","Profesional","Uniplaces","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/073b4f01-8e86-4486-8b71-3f06d226037cG.jpg","https://www.habitaclia.com/i50824000005939","2025-12-12","691111788","agents@uniplaces.com","No","Muy bueno","","No","No contactado","2480","1","1","35","1250","35","1","Muy baja"
"habitaclia","I-047QJ1-W-047QJ1","Alquiler","Plurifamiliar","Preciosa Vivienda Tipo Loft","","Valencia","Valencia","Jesús","La Raïosa","39.4616972615","-0.3868430385","1","Profesional","Engel & Völkers València","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/1418dc26-7fe1-4fb6-b4eb-fca8dd945b06G.jpg","https://www.habitaclia.com/i5953003373192","2025-12-12","34963517897","valencia@engelvoelkers.com","No","Muy bueno","","No","No contactado","4722","1","1","54","1200","22","1","Muy baja"
"habitaclia","00548","Alquiler","Plurifamiliar","","","Valencia","Valencia","Benicalap","Barrio de Benicalap","39.4914659917","-0.4022416083","5","Profesional","Home-Stories","Sí","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/0f838482-7ec6-4814-8455-0259113363cfG.jpg","https://www.habitaclia.com/i46951000000438","2025-12-12","656481128","maika@home-stories.es","No","Muy bueno","","No","No contactado","7268","2","2","80","1600","20","1","Muy baja"
"Fotocasa","6790VA","Alquiler","Plurifamiliar","Piso en Alquiler en  Avinguda d'Ausiàs March, Malilla","46006","Valencia","Valencia","Quatre Carreres","Malilla","39.4548224087","-0.3747394913","7º","Profesional","INFOAREA","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/c8342498-6c89-4d90-b615-3076927e6608?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188345567&tti=2","2025-12-12","960960578","infoarea@infoarea.es","No","Muy bueno","","No","No contactado","1253","4","2","126","1300","10","1","Moderada"
"milanuncios","571220726","Alquiler","Plurifamiliar","Valencia Capital","46005","Valencia","Valencia","L'Eixample","Zona Gran Via","39.4659697799","-0.3709425201","2","Profesional","INMOBILARIA INBMOB","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/3444a3b0-3712-4d52-aa41-e7979e3f7886G.jpg","https://www.milanuncios.com/anuncios/r571220726.htm","2025-12-12","931321405","akaksdlkasd20@gmx.de","No","","","No","No contactado","5498","1","1","35","350","10","1","Muy baja"
"habitaclia","NMM213","Alquiler","Plurifamiliar","","","Valencia","Valencia","Algirós","L'Amistat","39.4743259615","-0.3526498385","0","Profesional","FINQUES SALMAR","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/9f94ff05-96c0-4cf4-a14b-99fb0b4d3d35G.jpg","https://www.habitaclia.com/i4271004409558","2025-12-12","34977219555","salmarfinques@mediatecno-empedocle.pro","No","Muy bueno","","No","No contactado","3036","2","2","84","800","9","1","Muy baja"
"habitaclia","1dormitorio","Alquiler","Plurifamiliar","Piso de 1 dormitorio completamente amueblado y espacioso","","Valencia","Valencia","L'Eixample","Zona Gran Via","39.4636896147","-0.3732226853","0","Profesional","INMOBILARIA INBMOB","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/275bf0f1-fa3a-4ad6-8f27-063cc7ae4fc0G.jpg","https://www.habitaclia.com/i55007000000061","2025-12-12","34627495358","akaksdlkasd20@gmx.de","No","Muy bueno","","No","No contactado","2372","1","1","56","550","9","1","Muy baja"
"habitaclia","PR106","Alquiler","Plurifamiliar","","","Valencia","Valencia","L'Eixample","Russafa","39.4569642615","-0.3768680385","0","Profesional","AREA DE SERVICIOS, S.L.","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1633937a-5f20-48d2-b92e-71f6e910e817G.jpg","https://www.habitaclia.com/i1568004378882","2025-12-12","933278787","erosello@gruparea.com","No","Muy bueno","","No","No contactado","2231","2","1","73","650","8","1","Muy baja"
"habitaclia","02477.3","Alquiler","Plurifamiliar","Amueblado","","Valencia","Valencia","Ciutat Vella","La Xerea","39.4737147189","-0.3705693316","0","Profesional","BLUE RAY REAL ESTATE S.L.","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/04597ff0-8343-4f27-b303-338ec8d6f267G.jpg","https://www.habitaclia.com/i8049003989504","2025-12-12","960454171","marc@inmoprincesa.es","No","Muy bueno","","No","No contactado","5469","3","2","100","1800","18","1","Muy baja"
"Fotocasa","1509","Alquiler","Plurifamiliar","Piso en Alquiler en La Petxina","46008","Valencia","Valencia","Extramurs","La Petxina","39.4711490869","-0.3870969131","3º","Profesional","VERTECASA","Sí","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/7e9febe6-13e5-4ff6-8de2-bffbd7a752d3?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188350185&tti=2","2025-12-12","961288052","vertecasa@vertecasa.com","No","","","No","No contactado","5723","2","1","45","1080","24","1","Muy baja"
