"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"Fotocasa","I-00L7WZ-W-02YVSQ","Alquiler","Plurifamiliar","Apartamento en Alquiler en  Av. de Aragón, Mestalla","46010","Valencia","Valencia","El Pla del Real","Mestalla","39.4712278131","-0.3587081869","6º","Profesional","Engel & Völkers","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/c58ff935-90df-4789-9a91-56f9d89d9a6e?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185760062&tti=2","2025-02-26","961287313","Valencia@engelvoelkers.com","No","Excelente","","No","No contactado","8392","4","3","194","3000","15","1","Muy baja"
"milanuncios","537175858","Alquiler","Plurifamiliar","Valencia Capital","46003","Valencia","Valencia","Ciutat Vella","El Carme","39.4774591299","-0.3809408701","1","Profesional","PRINCESA INMOBILIARIA","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/02462043-6976-47e4-9675-a3e315ddf736G.jpg","https://www.milanuncios.com/anuncios/r537175858.htm","2025-02-26","960963418","princesainmobiliariaaaaa@realestate.com","No","","","No","No contactado","1621","1","1","45","550","12","1","Baja"
"habitaclia","AV2502098","Alquiler","Plurifamiliar","Piso en alquiler en En Corts","","Valencia","Valencia","Quatre Carreres","En Corts - Doctor Waksman","39.4570171587","-0.3699088413","8","Profesional","APROPERTIES REAL ESTATE - VALENCIA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/06e60fab-49e5-43f4-b4f7-3d1b77ea2af5G.jpg","https://www.habitaclia.com/i4737003824057","2025-02-26","961285965","eva.martinez-fortun@aproperties.es","No","Muy bueno","","No","No contactado","3848","3","1","70","1200","17","1","Muy baja"
"habitaclia","I-00L7YN-W-02Z0C0","Alquiler","Plurifamiliar","Un hogar lleno de luz y comodidad en una ubicación inmejorable","","Valencia","Valencia","Camins al Grau","Penya - Roja - Avda. Francia","39.4580125871","-0.3489024129","2","Profesional","Engel & Völkers","Sí","Sí","Sí","No","No","Sí","No","No","https://images.habimg.com/imgh/0ad08f00-e943-4748-9b1d-1e17593241f2G.jpg","https://www.habitaclia.com/i5953003370907","2025-02-26","963517897","valencia@engelvoelkers.com","No","Muy bueno","","No","No contactado","4024","4","2","144","2150","14","1","Muy baja"
"Fotocasa","02042","Alquiler","Plurifamiliar","Piso en Alquiler en  de Dalt, El Carme","46003","Valencia","Valencia","Ciutat Vella","El Carme","39.4786568131","-0.3797431869","1º","Profesional","BLUE RAY REAL ESTATE S.L.","Sí","No","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/bd50ead9-0a54-4ce0-a36e-1f9df0c52141?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185761711&tti=2","2025-02-26","960963418","info@bluerayrealestate.com","No","Muy bueno","","No","No contactado","2489","1","1","45","550","12","1","Alta"
"milanuncios","537152615","Alquiler","Plurifamiliar","Valencia Capital","46003","Valencia","Valencia","Ciutat Vella","El Carme","39.4765371299","-0.3802188701","3","Profesional","EV MMC SPAIN  S L U","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0352b48b-bf12-41ff-842e-d41c47274ad5G.jpg","https://www.milanuncios.com/anuncios/r537152615.htm","2025-02-26","961287313","engelvolkers809d@realestate.com","No","","","No","No contactado","3501","1","1","98","1600","16","1","Muy baja"
"milanuncios","537179973","Alquiler","Plurifamiliar","Valencia Capital","46026","Valencia","Valencia","Quatre Carreres","Malilla","39.4499063124","-0.373138235","1","Profesional","Malilla Quatre Carreres Inmuebles S L","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/17e55c0f-edc0-4abd-b5b1-7e0ce1a570fdG.jpg","https://www.milanuncios.com/anuncios/r537179973.htm","2025-02-26","960964253","habitalemalillaquatrecarrerres98a7@realestate.com","No","","","No","No contactado","379","4","2","120","1150","9","1","Muy alta"
"milanuncios","537188971","Alquiler","Unifamiliar","Valencia Capital","46026","Valencia","Valencia","El Forn d'Alcedo","","39.4330499299","-0.3786274701","","Profesional","RUDOMI INMUEBLES SLU","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/32b46197-ff6a-43cd-8eb3-d6e1ec7d2406G.jpg","https://www.milanuncios.com/anuncios/r537188971.htm","2025-02-26","961288347","terramared61@realestate.com","No","","","No","No contactado","31","2","1","70","700","10","1","Muy alta"
"Fotocasa","","Alquiler","Plurifamiliar","Piso en Alquiler en  Carrer de l'Heroi Romeu, 10, Arrancapins","46008","Valencia","Valencia","Extramurs","Arrancapins","39.4688762","-0.3893936","","Particular","Jgimenop","No","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/anuncio/2025/02/26/185765239/4571147186.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185765239&tti=1","2025-02-26","606313121","Jgimenop@gmail.com","No","Muy bueno","","No","No contactado","1559","2","1","55","975","17","1","Moderada"
"Fotocasa","","Alquiler","Plurifamiliar","Piso en Alquiler en  Carrer de Sant Vicent de Paül, 27, Els Orriols","46019","Valencia","Valencia","Rascanya","Orriols","39.4917895","-0.3694461","","Particular","andresbalaguero","Sí","Sí","No","Sí","No","No","No","No","https://static.fotocasa.es/images/anuncio/2025/02/26/185755656/4570477292.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185755656&tti=1","2025-02-26","34685103330","andresbalaguero@gmail.com","No","Muy bueno","","No","No contactado","2018","4","2","110","1390","12","1","Moderada"
