"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"habitaclia","21-60669","Alquiler","Plurifamiliar","","","Valencia","Valencia","Algirós","Ciutat Jardí","39.4737221587","-0.3426333413","0","Profesional","LLAVE90 Inmobiliarias","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0b6b141a-8b96-47cb-b49d-69a31a08cc7aG.jpg","https://www.habitaclia.com/i9999000000509","2025-07-29","34963285285","sdiaz@llave.90.com","No","Muy bueno","","No","No contactado","8212","3","2","93","1500","16","1","Muy baja"
"habitaclia","ATH043","Alquiler","Plurifamiliar","BONITO PISO EN ALQUILER EN VALENCIA","","Valencia","Valencia","Camins al Grau","Albors","39.4719790198","-0.3525340623","1","Profesional","Ambienthe Asesoramiento Inmobiliario","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/033dce67-f6a6-41ea-b714-a911723ef496G.jpg","https://www.habitaclia.com/i52506000000043","2025-07-29","668552635","info@ambienthe.com","No","Muy bueno","","No","No contactado","8821","2","1","61","850","13","1","Muy baja"
"Fotocasa","AV2507120","Alquiler","Plurifamiliar","Loft en Alquiler en  C. del Mar, La Xerea","46003","Valencia","Valencia","Ciutat Vella","La Xerea","39.4737464634","-0.3715335366","Bajos","Profesional","APROPERTIES REAL ESTATE - VALENCIA","Sí","Sí","Sí","Sí","No","Sí","Sí","No","https://static.fotocasa.es/images/ads/9e5e8e1e-3678-4d8a-8bc2-54beaa2ca16e?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187190451&tti=2","2025-07-29","962648135","leadsapvalencia@aproperties.es","No","","","No","No contactado","6217","1","1","35","1300","37","1","Muy baja"
"habitaclia","373","Alquiler","Plurifamiliar","APARTAMENTO AMUEBLADO DE 2 DORMITORIOS JUNTO A LA AVENIDA DE ARAGÓN","","Valencia","Valencia","El Pla del Real","Mestalla","39.4707036874","-0.3552660126","5","Profesional","ALAMEDA 10DT","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/08d1ebc3-fb9c-4b9f-828d-d1a3d0a5af63G.jpg","https://www.habitaclia.com/i43366000001882","2025-07-29","690062272","info@alameda10dt.com","No","Muy bueno","","No","No contactado","5454","2","1","73","1100","15","1","Muy baja"
"Fotocasa","1724-02colon725","Alquiler","Plurifamiliar","Piso en Alquiler en  colon, Sant Francesc","46004","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.4682418085","-0.3733920685","8º","Profesional","Solid Inmuebles","Sí","Sí","No","No","Sí","No","No","No","https://static.fotocasa.es/images/ads/08193e73-6544-4b1d-8baf-8efbe67ef171?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187186292&tti=2","2025-07-29","962948467","info@solidinmuebles.com","No","Muy bueno","","No","No contactado","4295","4","3","220","3200","14","1","Muy baja"
"habitaclia","DLT","Alquiler","Plurifamiliar","PISO SEMI-REFORMADO PRIMERO SIN ASCENSOR","","Valencia","Valencia","La Torre","","39.4348505874","-0.3919107126","0","Profesional","INMO 3","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/420c99f2-0c5a-4fa8-8abf-d5da70da2940G.jpg","https://www.habitaclia.com/i5972004381398","2025-07-29","655.672.039","inmo3@hotmail.com","No","Muy bueno","","No","No contactado","349","2","1","80","800","10","1","Alta"
"Fotocasa","ATH043","Alquiler","Plurifamiliar","Piso en Alquiler en Albors","46021","Valencia","Valencia","Camins al Grau","Albors","39.4714800661","-0.353033016","1º","Profesional","Ambienthe Asesoramiento Inmobiliario","Sí","No","No","Sí","Sí","No","No","No","https://static.fotocasa.es/images/ads/30fb8949-e556-467b-a5b9-8de2e68892e1?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187193872&tti=2","2025-07-29","960963885","i.ambienthe.11922@inmovilla.com","No","Excelente","","No","No contactado","1641","2","1","61","850","13","1","Muy alta"
"Fotocasa","I-0463G9-W-0463G9","Alquiler","Plurifamiliar","Estudio en Alquiler en Sant Francesc","46002","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.4720994337","-0.3750972663","3º","Profesional","Engel & Völkers Valencia","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/b474a032-2395-4147-b22f-6d0a895f0402?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187185698&tti=2","2025-07-29","961287313","Valencia@engelvoelkers.com","No","Muy bueno","","No","No contactado","8917","1","1","80","1150","14","1","Muy baja"
"Fotocasa","DLT","Alquiler","Plurifamiliar","Piso en Alquiler en Faitanar","46017","Valencia","Valencia","La Torre","","39.4343516337","-0.3924096663","Undefined","Profesional","INMO 3","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/50ac790d-afed-4e70-b193-4ce0c9592a3c?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187188810&tti=2","2025-07-29","962640341","inmo3@hotmail.com","No","","","No","No contactado","2900","2","1","80","800","10","1","Moderada"
"Fotocasa","AV2507124","Alquiler","Plurifamiliar","Piso en Alquiler en  C/ de Santa Genoveva Torres, Sant Llorenç - Zona Alfahuir","46019","Valencia","Valencia","Rascanya","Sant Llorenç - Zona Alfahuir","39.4930464634","-0.3633015366","10º","Profesional","APROPERTIES REAL ESTATE - VALENCIA","Sí","Sí","Sí","Sí","Sí","Sí","Sí","No","https://static.fotocasa.es/images/ads/a44dbc76-83b2-4077-b68a-c8f90163f81f?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187191006&tti=2","2025-07-29","962648135","leadsapvalencia@aproperties.es","No","","","No","No contactado","9112","3","2","100","1500","15","1","Muy baja"
