"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"habitaclia","2247","Alquiler","Plurifamiliar","Piso en primera línea de playa","","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4721279559","-0.3284280441","1","Profesional","CM PROPERTIES","Sí","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/20994d1d-d35e-4cef-b3ef-25f78cae3401G.jpg","https://www.habitaclia.com/i50179000000878","2025-06-28","677523211","team@cmproperties.es","No","Muy bueno","","No","No contactado","3123","2","2","96","3000","31","1","Muy baja"
"milanuncios","547683094","Alquiler","Plurifamiliar","Algirós - Pl. del Cedre","46022","Valencia","Valencia","Algirós","Ciutat Jardí","39.4712927","-0.3475919","5","Particular","","No","Sí","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r547683094.htm","2025-06-28","","","No","","","No","No contactado","8265","3","1","71","100","1","1","Muy baja"
"Fotocasa","VLC-A-121-B","Alquiler","Plurifamiliar","Piso en Alquiler en Nou Moles","46018","Valencia","Valencia","L'Olivereta","Nou Moles","39.4745043528","-0.3951868594","1º","Profesional","Resthome Real Estate","No","No","Sí","No","No","No","No","No","https://static.fotocasa.es/images/ads/35fd0e3e-eee2-459b-b9cd-df243c64cbe2?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186917056&tti=2","2025-06-28","962648159","i.resthomerealestate.11191@inmovilla.com","No","Muy bueno","","No","No contactado","4147","3","1","83","1400","16","1","Muy baja"
"Fotocasa","48","Alquiler","Plurifamiliar","Piso en Alquiler en  Calle RODRIGUEZ CEPEDA, Albors","46021","Valencia","Valencia","Camins al Grau","Albors","39.4688793722","-0.3537749508","2º","Profesional","NOVA LLAR","Sí","Sí","Sí","Sí","Sí","No","No","No","https://static.fotocasa.es/images/ads/fc002703-e66c-4d13-8de0-ad66012a37cb?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186919308&tti=2","2025-06-28","977937104","mariaconcepto34@hotmail.com","No","Muy bueno","","No","No contactado","2081","3","2","63","650","10","1","Muy alta"
"milanuncios","547686403","Alquiler","Plurifamiliar","Camí Fondo","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4627017635","-0.3476958019","3","Particular","","No","Sí","No","No","Sí","No","No","No","","https://www.milanuncios.com/anuncios/r547686403.htm","2025-06-28","","","No","","","No","No contactado","114","1","2","20","375","18","1","Muy alta"
"milanuncios","547665331","Alquiler","Plurifamiliar","La Roqueta - C/ de Jesús","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4632005","-0.3859819","1","Particular","","No","Sí","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r547665331.htm","2025-06-28","","","No","","","No","No contactado","69","3","2","70","1500","21","1","Muy alta"
"Fotocasa","","Alquiler","Plurifamiliar","Piso en Alquiler en  Avinguda de Blasco Ibáñez, 96, L'Amistat","46021","Valencia","Valencia","Algirós","L'Amistat","39.474168","-0.3502649","","Particular","vsoto5","Sí","Sí","No","Sí","Sí","No","No","No","https://static.fotocasa.es/images/anuncio/2025/06/28/186915606/4672107966.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186915606&tti=1","2025-06-28","34623210907","vsoto5@hotmail.com","No","Muy bueno","","No","No contactado","197","3","2","130","1600","12","1","Muy alta"
"habitaclia","48","Alquiler","Plurifamiliar","Piso amueblado en centro","","Valencia","Valencia","Camins al Grau","Albors","39.4686329389","-0.3540213841","2","Profesional","NOVA LLAR","Sí","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/46b3b2a2-8e6e-410a-ac9d-ec2e9fc54b39G.jpg","https://www.habitaclia.com/i5030004207143","2025-06-28","625.124.394","yolanda@2008novallar.com","No","Muy bueno","","No","No contactado","79","3","2","63","650","10","1","Muy alta"
"habitaclia","VLC-A-121-B","Alquiler","Plurifamiliar","Alquiler de piso y dos plazas de garaje  en calle","","Valencia","Valencia","L'Olivereta","Nou Moles","39.4720400195","-0.3976511927","1","Profesional","Resthome Real Estate","No","No","Sí","No","No","No","No","No","https://images.habimg.com/imgh/1ae006f9-264c-461a-8802-67871c39cee3G.jpg","https://www.habitaclia.com/i27606004428518","2025-06-28","674806928","resthome.inmobiliaria@gmail.com","No","Muy bueno","","No","No contactado","8128","3","1","83","1400","16","1","Muy baja"
"habitaclia","KWK-86","Alquiler","Plurifamiliar","PISO DE ALQUILER EN VALENCIA CAPITAL AMUEBLADO","","Valencia","Valencia","Camins al Grau","Albors","39.469530259","-0.355761041","2","Profesional","Amarilo Inmobiliaria","Sí","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/017d789e-f564-4073-b674-6eba205399e4G.jpg","https://www.habitaclia.com/i40609000000643","2025-06-28","34963529900","hola@amarilo.es","No","Muy bueno","","No","No contactado","7897","1","1","46","950","20","1","Muy baja"
