"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"habitaclia","46-357182-216","Alquiler","Plurifamiliar","Habitale te ofrece precioso apartarmento totalmente reformado a tan solo cinco minutos de la playa, muy luminoso, en uno de los ba","","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4698803294","-0.3288018706","0","Profesional","HABITALE AVENIDA DEL CID","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/11a9564b-2fd9-46dd-8a20-b251c98be860G.jpg","https://www.habitaclia.com/i32026000000396","2025-05-29","961024311","avenidadelcid@habitale.com","No","Muy bueno","","No","No contactado","9187","1","1","49","1300","26","1","Muy baja"
"Fotocasa","01439","Alquiler","Plurifamiliar","Piso en Alquiler en  Calle RAFOL, El Pilar","46001","Valencia","Valencia","Ciutat Vella","El Pilar","39.4720124487","-0.3802317013","Bajos","Profesional","VALENCIA BIENES RAICES","Sí","No","No","No","Sí","No","No","No","https://static.fotocasa.es/images/ads/ce53cdb6-52ef-47f7-85d6-0962d2d0f7ec?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186636663&tti=2","2025-05-29","962640476","i.valenciabienesraices.1317@inmovilla.com","No","Excelente","","No","No contactado","8729","1","1","52","1200","23","1","Muy baja"
"milanuncios","544974157","Alquiler","Plurifamiliar","Abastos - C/ de l''Estrela","46007","Valencia","Valencia","Extramurs","La Roqueta","39.465931","-0.3804822","1","Particular","","No","Sí","No","No","Sí","No","No","No","","https://www.milanuncios.com/anuncios/r544974157.htm","2025-05-29","","","No","","","No","No contactado","7","3","1","80","1300","16","1","Muy alta"
"habitaclia","AV2505111","Alquiler","Plurifamiliar","Piso en alquiler frente a la Estación del Norte","","Valencia","Valencia","Extramurs","La Roqueta","39.4649323129","-0.3786826871","1","Profesional","APROPERTIES REAL ESTATE - VALENCIA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/24df94d3-cd63-40a7-8f9c-65d1d30029caG.jpg","https://www.habitaclia.com/i4737003825084","2025-05-29","623016964","eva.martinez-fortun@aproperties.es","No","Muy bueno","","No","No contactado","9326","5","2","157","2200","14","1","Muy baja"
"habitaclia","VL028","Alquiler","Plurifamiliar","Piso de alquiler en avenida dAmado Granell Mesado","","Valencia","Valencia","Quatre Carreres","Na Rovella - Hermanos Maristas","39.4578488734","-0.3611201386","9","Profesional","Amax Agency Estate","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0211b361-7e1c-418a-8431-762c625815f0G.jpg","https://www.habitaclia.com/i55237000000042","2025-05-29","34651305286","amaxagencyestate@gmail.com","No","Muy bueno","","No","No contactado","6151","3","1","95","1600","16","1","Muy baja"
"Fotocasa","64-03197","Alquiler","Plurifamiliar","Piso en Alquiler en La Creu del Grau","46023","Valencia","Valencia","Camins al Grau","La Creu del Grau","39.4605599079","-0.3430036881","4º","Profesional","GRUPO HOGARES INMOBILIARIAS","Sí","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/849d1f8d-286f-4869-a7db-4ce078390950?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186633454&tti=2","2025-05-29","962645217","i.grupohogaresinmobiliarias.6928@inmovilla.com","No","Excelente","","No","No contactado","5789","2","1","87","1200","13","1","Muy baja"
"Fotocasa","1380","Alquiler","Plurifamiliar","Piso en Alquiler en  Padre Luis Navarro, El Cabanyal - El Canyamelar","46011","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4705153587","-0.3293156413","1º","Profesional","Arrival inmobiliaria","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/347f7b63-e1ce-421a-8c98-d64885924f26?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186635592&tti=2","2025-05-29","961280748","info@arrivalinmobiliaria.es","No","Muy bueno","","No","No contactado","7985","1","1","31","1000","32","1","Muy baja"
"Fotocasa","46-357182-216","Alquiler","Plurifamiliar","Apartamento en Alquiler en El Cabanyal - El Canyamelar","46011","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4677307869","-0.3309514131","Undefined","Profesional","HABITALE AVENIDA DEL CID","No","Sí","No","Sí","Sí","Sí","No","No","https://static.fotocasa.es/images/ads/11a9564b-2fd9-46dd-8a20-b251c98be860?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186638685&tti=2","2025-05-29","962647305","avenidadelcid@habitale.com","No","","","No","No contactado","187","1","1","49","1300","26","1","Muy alta"
"Fotocasa","80","Alquiler","Plurifamiliar","Piso en Alquiler en Nou Moles","46018","Valencia","Valencia","L'Olivereta","Nou Moles","39.4720539869","-0.4022096131","1º","Profesional","LAND TURIA 600 SL","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/8630477f-cce4-47c8-b279-586a85d392f7?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186637793&tti=2","2025-05-29","961288259","landturia600@landturia600.com","No","Muy bueno","","No","No contactado","1743","3","1","90","1000","11","1","Alta"
"habitaclia","I-0309KG-W-0309KG","Alquiler","Plurifamiliar","Amplio y luminoso piso en Camins al Grau","","Valencia","Valencia","Camins al Grau","La Creu del Grau","39.4596903129","-0.3416036871","3","Profesional","Engel & Völkers","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/11980b99-2c95-4aaa-adcf-46bb565386e8G.jpg","https://www.habitaclia.com/i5953003371643","2025-05-29","963517897","valencia@engelvoelkers.com","No","Muy bueno","","No","No contactado","9152","3","1","93","1400","15","1","Muy baja"
