"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","564375329","Alquiler","Plurifamiliar","Valencia Capital","46008","Valencia","Valencia","Extramurs","La Petxina","39.4765496243","-0.3868388888","3","Profesional","RACASA TORRES DE QUART","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/20f0eedc-89d2-49f7-b0f8-30cf5b138833G.jpg","https://www.milanuncios.com/anuncios/r564375329.htm","2025-10-29","960965722","iagestion_2020@iagestion.com","No","","","No","No contactado","4418","1","1","85","1400","16","1","Muy baja"
"habitaclia","AV2510107","Alquiler","Plurifamiliar","Piso en alquiler en Nou Mestalla","","Valencia","Valencia","Campanar","Campanar - La Fe","39.4847070141","-0.3981179859","7","Profesional","APROPERTIES REAL ESTATE - VALENCIA","Sí","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/072bea1c-e925-488a-b412-8f45cc77c38eG.jpg","https://www.habitaclia.com/i4737003826447","2025-10-29","623016964","eva.martinez-fortun@aproperties.es","No","Muy bueno","","No","No contactado","4273","3","2","132","1900","14","1","Muy baja"
"Fotocasa","M-IBAP1300","Alquiler","Plurifamiliar","Piso en Alquiler en Camí Fondo","46023","Valencia","Valencia","Camins al Grau","Camí Fondo - Zona Baleares - Canarias","39.4668201809","-0.3552859191","3º","Profesional","SENYERA INMOBILIARIA","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/737a7fd8-573d-40fb-a91a-912284830378?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187981649&tti=2","2025-10-29","962946402","maritim@inmobiliariasenyera.com","No","Muy bueno","","No","No contactado","4837","3","2","103","1300","12","1","Muy baja"
"Fotocasa","I-047577-W-047577","Alquiler","Plurifamiliar","Apartamento en Alquiler en  Avenida Gola del Puchol, El Saler","46012","Valencia","Valencia","El Saler","","39.3509167881","-0.3210807119","6º","Profesional","Engel & Völkers Valencia","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/3a621468-f025-4285-8480-eb1b3a747d8b?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187980054&tti=2","2025-10-29","961287313","Valencia@engelvoelkers.com","No","","","No","No contactado","409","2","1","80","1100","13","1","Muy alta"
"milanuncios","564405219","Alquiler","Plurifamiliar","Valencia Capital","46018","Valencia","Valencia","Patraix","Barrio de Patraix","39.4654999452","-0.3927100548","3","Profesional","GR2000","Sí","Sí","No","Sí","No","No","Sí","No","https://images.habimg.com/imgh/074984c4-5ca4-4750-a90a-8d06eee605edG.jpg","https://www.milanuncios.com/anuncios/r564405219.htm","2025-10-29","960967437","inmobiliaria@gr2000.es","No","","","No","No contactado","3533","2","1","69","1350","19","1","Muy baja"
"habitaclia","57486","Alquiler","Plurifamiliar","ATICO DUPLEX AMUEBLADO Y CON ELECTRODOMESTICOS EN ALQUILER ..ZONA EN PLENO PATRAIX","","Valencia","Valencia","Patraix","Barrio de Patraix","39.4616201412","-0.3965898588","3","Profesional","GR2000","Sí","Sí","Sí","No","Sí","No","No","No","https://images.habimg.com/imgh/074984c4-5ca4-4750-a90a-8d06eee605edG.jpg","https://www.habitaclia.com/i17947000003689","2025-10-29","963.855.558","inmobiliaria@gr2000.es","No","Muy bueno","","No","No contactado","22","2","1","69","1350","19","1","Muy alta"
"Fotocasa","","Alquiler","Plurifamiliar","Piso en Alquiler en  Carrer de l'Olivereta, 16, Nou Moles","46018","Valencia","Valencia","L'Olivereta","Nou Moles","39.4729431","-0.3963212","","Particular","ruth.licer73","Sí","No","No","No","Sí","No","No","No","","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187982142&tti=1","2025-10-29","34620900874","ruth.licer73@gmail.com","No","Excelente","","No","No contactado","6625","3","1","73","1350","18","1","Muy baja"
"Fotocasa","I-04776O-W-04776O","Alquiler","Plurifamiliar","Apartamento en Alquiler en  C. de na Jordana, El Carme","46003","Valencia","Valencia","Ciutat Vella","El Carme","39.4797342881","-0.3805787119","2º","Profesional","Engel & Völkers Valencia","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/b25d8f97-ca98-4046-8637-4d706ded4c62?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187979883&tti=2","2025-10-29","961287313","Valencia@engelvoelkers.com","No","","","No","No contactado","5188","1","1","50","1100","22","1","Muy baja"
"Fotocasa","1413","Alquiler","Plurifamiliar","Ático en Alquiler en  Toneleros, El Grau","46024","Valencia","Valencia","Poblats Marítims","El Grau","39.4607772881","-0.3366107119","5º","Profesional","Arrival inmobiliaria","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/b41dcf8f-60d4-4802-8bd7-c0bf96091e15?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187984379&tti=2","2025-10-29","961280748","info@arrivalinmobiliaria.es","No","Muy bueno","","No","No contactado","549","1","1","65","1100","16","1","Muy alta"
"habitaclia","I-04737S-W-04737S","Alquiler","Plurifamiliar","Exclusivo apartamento de obra nueva a estrenar y piscina en el vibrante corazón costero de Valencia","","Valencia","Valencia","Poblats Marítims","El Grau","39.4586948141","-0.3342356859","4","Profesional","Engel & Völkers Valencia","Sí","Sí","Sí","No","No","Sí","No","No","https://images.habimg.com/imgh/023fc27d-8cae-4041-acf8-88263f28f04bG.jpg","https://www.habitaclia.com/i5953003372827","2025-10-29","34963517897","valencia@engelvoelkers.com","No","Muy bueno","","No","No contactado","8129","3","2","100","2500","25","1","Muy baja"
