"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"habitaclia","CU2009V","Venta","Plurifamiliar","","","Valencia","Valencia","Patraix","Vara de Quart","39.4598925055","-0.4020936493","0","Profesional","LLAVE MAESTRA RED INMOBILIARIA","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/02c499d5-dd97-49e0-aa86-1aaed29b45c9G.jpg","https://www.habitaclia.com/i46634000000516","2025-12-12","963348418","perello@llavemaestra.es","No","Muy bueno","","No","No contactado","3508","4","2","105","330000","3142","1","Muy baja"
"habitaclia","I-047MSK-W-047MSK","Venta","Plurifamiliar","Acogedora vivienda junto a los jardines del Turia","","Valencia","Valencia","El Pla del Real","Mestalla","39.4658839147","-0.3613909853","0","Profesional","Engel & Völkers València","No","No","Sí","No","No","No","No","No","https://images.habimg.com/imgh/0014b49c-1bf6-43fb-a227-bf6abd915d66G.jpg","https://www.habitaclia.com/i5953003373193","2025-12-12","34963517897","valencia@engelvoelkers.com","No","Muy bueno","","No","No contactado","2606","3","2","130","595000","4576","1","Muy baja"
"Fotocasa","I-047MSK-W-047MSK","Venta","Plurifamiliar","Apartamento en Venta en Mestalla","46023","Valencia","Valencia","El Pla del Real","Mestalla","39.4676943869","-0.3595805131","3º","Profesional","Engel & Völkers València","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/aabc9b31-5fc2-44df-932e-a3ce2a5b1a82?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188347074&tti=2","2025-12-12","961287313","Valencia@engelvoelkers.com","No","","","No","No contactado","2605","3","2","130","595000","4576","1","Muy baja"
"milanuncios","571211349","Venta","Plurifamiliar","Valencia Capital","46014","Valencia","Valencia","Patraix","Vara de Quart","39.4621726707","-0.3998134841","1","Profesional","LLAVE MAESTRA RED INMOBILIARIA","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/02c499d5-dd97-49e0-aa86-1aaed29b45c9G.jpg","https://www.milanuncios.com/anuncios/r571211349.htm","2025-12-12","960969442","w237@inmoweb.email","No","","","No","No contactado","2414","4","2","105","330000","3142","1","Muy baja"
"milanuncios","571218920","Venta","Plurifamiliar","Valencia Capital","46011","Valencia","Valencia","Poblats Marítims","La Malva-rosa","39.4798532213","-0.3276711802","1","Profesional","Ekoforia Properties","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/228964f9-3890-47c9-bdcb-52cf3f076ab4G.jpg","https://www.milanuncios.com/anuncios/r571218920.htm","2025-12-12","961285173","w3951@inmoweb.email","No","","","No","No contactado","3828","2","1","70","209000","2985","1","Muy baja"
"milanuncios","571179486","Venta","Plurifamiliar","Valencia Capital","46018","Valencia","Valencia","Patraix","Barrio de Patraix","39.4629564799","-0.3955708201","Bajos","Profesional","Engel & Völkers València","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/07291e25-b2ee-4b0c-a0e0-df632e4a0618G.jpg","https://www.milanuncios.com/anuncios/r571179486.htm","2025-12-12","961287313","valencia@engelvoelkers.com","No","","","No","No contactado","2411","","","531","1058000","1992","1","Muy baja"
"milanuncios","571207860","Venta","Plurifamiliar","Valencia Capital","46017","Valencia","Valencia","La Torre","","39.4345257799","-0.3916610201","4","Profesional","Llosan Asesores","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0a58abc7-8b62-40e8-8a40-5d4f856f4707G.jpg","https://www.milanuncios.com/anuncios/r571207860.htm","2025-12-12","962948367","513838@inbox.habitatsoft.com","No","","","No","No contactado","36","2","1","119","165000","1386","1","Muy alta"
"Fotocasa","0298989","Venta","Plurifamiliar","Piso en Venta en Sant Francesc","46002","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.4703780869","-0.3774609131","2º","Profesional","DONPISO","Sí","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/fc6c095b-bb7d-4ed5-b26f-28c6a7bc92ea?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188341666&tti=2","2025-12-12","34960601971","valenciajesus@donpiso.com","No","","","No","No contactado","2267","1","1","150","975000","6500","1","Muy baja"
"Fotocasa","","Venta","Plurifamiliar","Piso en Venta en  Carrer del Periodista Azzati, 4, Sant Francesc","46002","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.4702427","-0.3793726","","Particular","masterestateinmo","Sí","No","Sí","No","No","No","No","No","https://static.fotocasa.es/images/anuncio/2025/12/12/188346893/4804916786.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188346893&tti=1","2025-12-12","34672410404","masterestateinmo@gmail.com","No","Muy bueno","","No","No contactado","52","8","6","307","1350000","4397","1","Muy alta"
"habitaclia","PIS_2554","Venta","Plurifamiliar","ARKIA Inmuebles  Arquitectura. Te ofrece Piso en Venta en Valencia. PATRAIX  BARRIO PATRAIX.","","Valencia","Valencia","Patraix","Barrio de Patraix","39.4606858507","-0.3934493013","3","Profesional","ARKIA Inmuebles & Arquitectura","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/14a850ae-86e9-498c-9940-ccdcf9eb41d3G.jpg","https://www.habitaclia.com/i32962000001249","2025-12-12","636778427","gerencia@arkiainmobiliaria.com,info@arkiainmobiliaria.com","No","Muy bueno","","No","No contactado","155","2","1","90","195000","2166","1","Alta"
"Fotocasa","CU2009V","Venta","Plurifamiliar","Piso en Venta en Vara de Quart","46014","Valencia","Valencia","Patraix","Vara de Quart","39.4617029777","-0.4002831771","1º","Profesional","LLAVE MAESTRA RED INMOBILIARIA","No","Sí","No","No","Sí","No","No","No","https://static.fotocasa.es/images/ads/30dd2acc-e12d-4a86-98d7-f163e62b2dd7?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188347783&tti=2","2025-12-12","960969539","w237@inmoweb.email","No","","","No","No contactado","3493","4","2","105","330000","3142","1","Muy baja"
"Fotocasa","0299168","Venta","Unifamiliar","Casa-Chalet en Venta en La Torre","46017","Valencia","Valencia","La Torre","","39.4332070869","-0.3896499131","","Profesional","DONPISO","No","No","No","No","Sí","No","No","No","https://static.fotocasa.es/images/ads/e01d3943-70ce-465e-bffb-0b1241c014a1?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188341667&tti=2","2025-12-12","34960601971","valenciajesus@donpiso.com","No","","","No","No contactado","1049","6","2","266","195000","733","1","Moderada"
"habitaclia","25VIV19031","Venta","Plurifamiliar","","","Valencia","Valencia","Benimàmet","","39.5015117","-0.4191387","4","Profesional","BHORUS","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/5070095e-168c-44d9-a09a-48c61d5c3ea9G.jpg","https://www.habitaclia.com/i44590000008779","2025-12-12","936093064","contacto@bhorus.com","No","Muy bueno","","No","No contactado","37","4","2","138","126000","913","1","Muy alta"
"Fotocasa","JOR-VNT030","Venta","Plurifamiliar","Piso en Venta en  Carrer de Josep de Saragossa, Favara","46017","Valencia","Valencia","Patraix","Favara","39.4553492087","-0.3929549913","1º","Profesional","Malach Real Estate","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/e0eccff6-bfd3-400a-a9ec-29b23d4a1066?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188345433&tti=2","2025-12-12","34699283191","informacionmalach@gmail.com","No","Muy bueno","","No","No contactado","3978","1","1","45","235000","5222","1","Muy baja"
"milanuncios","571097048","Venta","Unifamiliar","Valencia Capital","46017","Valencia","Valencia","La Torre","","39.4336767799","-0.3891802201","","Profesional","DONPISO","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0a665f0a-cf8a-4bbc-b9d1-bd88fdb1ad27G.jpg","https://www.milanuncios.com/anuncios/r571097048.htm","2025-12-12","960601971","valenciajesus@donpiso.com","No","","","No","No contactado","45","6","2","266","195000","733","1","Muy alta"
"milanuncios","571156688","Venta","Plurifamiliar","Valencia Capital","46012","Valencia","Valencia","Pinedo","","39.4220198329","-0.3369625921","3","Profesional","ALAIN GRUPO","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/04590334-94fc-4e75-b314-f9499c3ad9c7G.jpg","https://www.milanuncios.com/anuncios/r571156688.htm","2025-12-12","961281893","i.alainconsultoresinmobiliarios.5458@inmovilla.com","No","","","No","No contactado","2","2","1","104","240000","2307","1","Muy alta"
"Fotocasa","","Venta","Plurifamiliar","Piso en Venta en  Plaça de Cisneros, 2, La Seu","46003","Valencia","Valencia","Ciutat Vella","La Seu","39.4778141","-0.3758421","","Particular","masterestateinmo","Sí","Sí","No","No","Sí","No","No","No","https://static.fotocasa.es/images/anuncio/2025/12/12/188345715/4804834433.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188345715&tti=1","2025-12-12","34672410404","masterestateinmo@gmail.com","No","Excelente","","No","No contactado","3335","3","2","91","410000","4505","1","Muy baja"
"Fotocasa","SH0778a","Venta","Plurifamiliar","Piso en Venta en  Carrer de Gaspar Torrella, 9, Favara","46017","Valencia","Valencia","Patraix","Favara","39.4534077","-0.3931019","1º","Profesional","LEUKANTE REALTY","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/0bca379a-cd17-4276-91a6-1f3a1c39f9f3?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188345120&tti=2","2025-12-12","865560397","info@leukanterealty.com","No","Malo","","No","No contactado","905","3","1","63","120000","1904","1","Moderada"
"Fotocasa","1649","Venta","Plurifamiliar","Piso en Venta en  Albacete, Arrancapins","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4614874087","-0.3855945913","4º","Profesional","ALBEGAR Inmobiliaria","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/b2260fcc-6183-4fdf-8c4c-9e6b43a23f65?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188343321&tti=2","2025-12-12","962949168","info@albegar.es","No","Muy bueno","","No","No contactado","969","3","1","93","297500","3198","1","Moderada"
"milanuncios","571206520","Venta","Plurifamiliar","Valencia Capital","46023","Valencia","Valencia","El Pla del Real","Mestalla","39.4681640799","-0.3591108201","3","Profesional","Engel & Völkers València","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0014b49c-1bf6-43fb-a227-bf6abd915d66G.jpg","https://www.milanuncios.com/anuncios/r571206520.htm","2025-12-12","961287313","valencia@engelvoelkers.com","No","","","No","No contactado","2608","3","2","130","595000","4576","1","Muy baja"
"Fotocasa","CH-52990-0001","Venta","Plurifamiliar","Piso en Venta en  C/ Víctor Moya, Aiora","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4666246585","-0.3417843028","","Profesional","SOLVIA SERVICIOS INMOBILIARIOS S.L","No","No","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/ea7c2e1e-ec7c-4f9d-b2fb-42d6e62495b6?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188342437&tti=2","2025-12-12","928190384","comercial@solvia.es","No","","","No","No contactado","643","3","1","110","208000","1890","1","Alta"
"Fotocasa","CDR002889","Venta","Plurifamiliar","Piso en Venta en  Calle BENIMODO 15 1º, , Benimàmet","46035","Valencia","Valencia","Benimàmet","","39.4993029","-0.4208221","","Profesional","Oportunalia","No","No","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/6a832c53-7028-45ae-b649-427dcb3a0500?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188344505&tti=2","2025-12-12","919453417","info@oportunalia.com","No","","","No","No contactado","3972","","","100","90000","900","1","Muy baja"
"Fotocasa","Vb162Malvarrosa","Venta","Plurifamiliar","Piso en Venta en La Malva-rosa","46011","Valencia","Valencia","Poblats Marítims","La Malva-rosa","39.4793835283","-0.3281408732","1º","Profesional","Ekoforia Properties","No","No","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/926bc4f0-3085-4711-a458-d7e087c8d37a?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188348850&tti=2","2025-12-12","961285173","w3951@inmoweb.email","No","Bueno","","No","No contactado","2732","2","1","70","209000","2985","1","Muy baja"
