"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"Fotocasa","0292687","Venta","Plurifamiliar","Piso en Venta en Arrancapins","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4664874858","-0.3811585142","8º","Profesional","DONPISO","Sí","Sí","No","Sí","Sí","No","No","No","","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186332600&tti=2","2025-04-28","34960601971","valenciajesus@donpiso.com","No","","","No","No contactado","9421","4","2","129","530000","4108","1","Muy baja"
"habitaclia","2629","Venta","Plurifamiliar","Vive la Valencia más auténtica en esta joya  en Zaidía","","Valencia","Valencia","La Saïdia","Sant Antoni","39.4883637946","-0.3721260874","2","Profesional","Gestione Asesores","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0d2e94d9-44ff-4f3b-997d-6b5f89477241G.jpg","https://www.habitaclia.com/i8453002278662","2025-04-28","625195737","gestione@gestioneasesores.com","No","Muy bueno","","No","No contactado","4728","1","1","78","250000","3205","1","Muy baja"
"milanuncios","542365647","Venta","Plurifamiliar","Valencia Capital","46009","Valencia","Valencia","La Saïdia","Sant Antoni","39.4879188989","-0.3725709831","2","Profesional","GESTIONE ASESORES","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0d2e94d9-44ff-4f3b-997d-6b5f89477241G.jpg","https://www.milanuncios.com/anuncios/r542365647.htm","2025-04-28","960967531","i.gestioneasesores.2822@inmovilla.com","No","","","No","No contactado","3671","1","1","78","250000","3205","1","Muy baja"
"Fotocasa","25VIV06586","Venta","Plurifamiliar","Piso en Venta en  PADRE PEDRO VELASCO, 5, La Malva-rosa","46011","Valencia","Valencia","Poblats Marítims","La Malva-rosa","39.4781988","-0.32921","Entresuelo","Profesional","BHORUS","No","Sí","No","No","No","Sí","Sí","No","https://static.fotocasa.es/images/ads/5e30c1e1-ffc3-4246-853a-235410f72c00?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186336823&tti=2","2025-04-28","919454698","contacto@bhorus.com","No","","","No","No contactado","280","3","1","64","58500","914","1","Alta"
"habitaclia","25VIV06586","Venta","Plurifamiliar","","","Valencia","Valencia","Poblats Marítims","La Malva-rosa","39.4781988","-0.32921","0","Profesional","BHORUS","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/4abde6e8-5fa8-4c88-a3fc-60a453bdb804G.jpg","https://www.habitaclia.com/i44590000004456","2025-04-28","936093064","contacto@bhorus.com","No","Muy bueno","","No","No contactado","10154","3","1","64","58500","914","1","Muy baja"
"Fotocasa","25VIV06481","Venta","Plurifamiliar","Piso en Venta en  LITERATO GABRIEL MIRÓ, 28, La Petxina","46008","Valencia","Valencia","Extramurs","La Petxina","39.4728106","-0.3894128","4º","Profesional","BHORUS","No","Sí","No","No","No","Sí","Sí","No","https://static.fotocasa.es/images/ads/49fe9e6e-6169-429c-a12c-461230f9bdb1?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186336808&tti=2","2025-04-28","919454698","contacto@bhorus.com","No","","","No","No contactado","9475","3","2","150","263000","1753","1","Muy baja"
"milanuncios","542366078","Venta","Plurifamiliar","Valencia Capital","46011","Valencia","Valencia","Poblats Marítims","La Malva-rosa","39.4774405129","-0.3299682871","Entresuelo","Profesional","BHORUS","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/4abde6e8-5fa8-4c88-a3fc-60a453bdb804G.jpg","https://www.milanuncios.com/anuncios/r542366078.htm","2025-04-28","919454698","contacto@bhorus.com","No","","","No","No contactado","3601","3","1","64","58500","914","1","Muy baja"
"milanuncios","542366059","Venta","Plurifamiliar","Valencia Capital","46011","Valencia","Valencia","Poblats Marítims","El Grau","39.4616481129","-0.3364195871","4","Profesional","BHORUS","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/518e52a5-4665-473b-9bf7-80bd07129e04G.jpg","https://www.milanuncios.com/anuncios/r542366059.htm","2025-04-28","919454698","contacto@bhorus.com","No","","","No","No contactado","8653","3","1","84","70000","833","1","Muy baja"
"milanuncios","542366061","Venta","Plurifamiliar","Valencia Capital","46008","Valencia","Valencia","Extramurs","La Petxina","39.4720523129","-0.3901710871","4","Profesional","BHORUS","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0b67e654-ef81-440b-91bc-c4a7fd7e22b3G.jpg","https://www.milanuncios.com/anuncios/r542366061.htm","2025-04-28","919454698","contacto@bhorus.com","No","","","No","No contactado","9116","3","2","150","263000","1753","1","Muy baja"
"milanuncios","542311658","Venta","Plurifamiliar","Valencia Capital","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4645657129","-0.3830802871","8","Profesional","DONPISO","Sí","Sí","No","Sí","No","No","No","No","https://images.habimg.com/imgh/05ea0303-cb58-45ad-b651-6588773c6197G.jpg","https://www.milanuncios.com/anuncios/r542311658.htm","2025-04-28","960601971","valenciajesus@donpiso.com","No","","","No","No contactado","7036","4","2","129","530000","4108","1","Muy baja"
"habitaclia","25VIV06481","Venta","Plurifamiliar","","","Valencia","Valencia","Extramurs","La Petxina","39.4728106","-0.3894128","4","Profesional","BHORUS","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0b67e654-ef81-440b-91bc-c4a7fd7e22b3G.jpg","https://www.habitaclia.com/i44590000004442","2025-04-28","936093064","contacto@bhorus.com","No","Muy bueno","","No","No contactado","8360","3","2","150","263000","1753","1","Muy baja"
"habitaclia","25VIV06419","Venta","Plurifamiliar","","","Valencia","Valencia","Poblats Marítims","El Grau","39.4624064","-0.3356613","4","Profesional","BHORUS","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/518e52a5-4665-473b-9bf7-80bd07129e04G.jpg","https://www.habitaclia.com/i44590000004440","2025-04-28","936093064","contacto@bhorus.com","No","Muy bueno","","No","No contactado","8349","3","1","84","70000","833","1","Muy baja"
"habitaclia","0292687","Venta","Plurifamiliar","Junto Plaza de España","","Valencia","Valencia","Extramurs","Arrancapins","39.4650106086","-0.3826353914","8","Profesional","DONPISO","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/05ea0303-cb58-45ad-b651-6588773c6197G.jpg","https://www.habitaclia.com/i885003221285","2025-04-28","933069090","info@donpiso.com","No","Muy bueno","","No","No contactado","347","4","2","129","530000","4108","1","Moderada"
"Fotocasa","2629","Venta","Plurifamiliar","Piso en Venta en Sant Antoni","46009","Valencia","Valencia","La Saïdia","Sant Antoni","39.4898406718","-0.3706492102","2º","Profesional","GESTIONE ASESORES","Sí","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/22c46358-9db6-4149-b830-67b02e095b60?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186336712&tti=2","2025-04-28","960967531","i.gestioneasesores.2822@inmovilla.com","No","Excelente","","No","No contactado","7626","1","1","78","250000","3205","1","Muy baja"
"Fotocasa","25VIV06419","Venta","Plurifamiliar","Piso en Venta en  ARQUITECTO ALFARO, 15, El Grau","46011","Valencia","Valencia","Poblats Marítims","El Grau","39.4624064","-0.3356613","4º","Profesional","BHORUS","No","Sí","No","No","No","Sí","Sí","No","https://static.fotocasa.es/images/ads/518e52a5-4665-473b-9bf7-80bd07129e04?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186336806&tti=2","2025-04-28","919454698","contacto@bhorus.com","No","","","No","No contactado","4049","3","1","84","70000","833","1","Muy baja"
"milanuncios","542303973","Venta","Plurifamiliar","Benimaclet - C/ d''Enric Navarro","46020","Valencia","Valencia","Benimaclet","Barrio de Benimaclet","39.4853838","-0.3599352","1","Particular","","No","No","No","No","Sí","No","No","No","","https://www.milanuncios.com/anuncios/r542303973.htm","2025-04-27","","","No","","","No","No contactado","34","4","1","86","214000","2488","2","Muy alta"
"milanuncios","542304182","Venta","Plurifamiliar","Port Saplaya - C/ d''Alboraia","46010","Valencia","Valencia","La Saïdia","Trinitat","39.4838373","-0.3696377","3","Particular","","No","No","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r542304182.htm","2025-04-27","","","No","","","No","No contactado","1007","3","2","100","150000","1500","2","Baja"
"Fotocasa","","Venta","Plurifamiliar","Piso en Venta en  Carrer de Francisco Moreno Usedo, 34, Nou Moles","46018","Valencia","Valencia","L'Olivereta","Nou Moles","39.4719446","-0.3972714","","Particular","tony.sorolla","No","Sí","No","No","No","No","No","No","","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186331310&tti=1","2025-04-27","650378009","tony.sorolla@gmail.com","No","Bueno","","No","No contactado","101","4","1","90","200000","2222","2","Muy alta"
"Fotocasa","","Venta","Plurifamiliar","Piso en Venta en  Carrer d'Enric Navarro, 5, Barrio de Benimaclet","46020","Valencia","Valencia","Benimaclet","Barrio de Benimaclet","39.4853838","-0.3599352","","Particular","agal28","No","No","No","No","Sí","No","No","No","https://static.fotocasa.es/images/anuncio/2025/04/27/186332232/4618078648.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186332232&tti=1","2025-04-27","34644106516","agal28@hotmail.com","No","Bueno","","No","No contactado","1194","4","1","86","214000","2488","2","Alta"
"Fotocasa","","Venta","Plurifamiliar","Piso en Venta en  Carrer d'Enric Navarro, 5, Barrio de Benimaclet","46020","Valencia","Valencia","Benimaclet","Barrio de Benimaclet","39.4853838","-0.3599352","","Particular","agal28","No","No","No","No","Sí","No","No","No","https://static.fotocasa.es/images/anuncio/2025/04/27/186332232/4618078648.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=186332232&tti=1","2025-04-27","34644106516","agal28@hotmail.com","No","Bueno","","No","No contactado","1193","4","1","86","214000","2488","2","Alta"
"milanuncios","542279393","Venta","Plurifamiliar","Benicalap - Plaça de Benicalap","46025","Valencia","Valencia","Benicalap","Barrio de Benicalap","39.4930496216","-0.3917294145","2","Particular","","No","No","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r542279393.htm","2025-04-27","","","No","","","No","No contactado","9181","4","1","70","189000","2700","2","Muy baja"
"milanuncios","542303973","Venta","Plurifamiliar","Benimaclet - C/ d''Enric Navarro","46020","Valencia","Valencia","Benimaclet","Barrio de Benimaclet","39.4853838","-0.3599352","1","Particular","","No","No","No","No","Sí","No","No","No","","https://www.milanuncios.com/anuncios/r542303973.htm","2025-04-27","","","No","","","No","No contactado","35","4","1","86","214000","2488","2","Muy alta"
"milanuncios","542238290","Venta","Plurifamiliar","Valencia Capital","46009","Valencia","Valencia","La Saïdia","Tormos","39.4909810169","-0.3754402106","1","Profesional","INMOBILIARIA GECRISA","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/17742f9b-ef51-4bd0-a7a9-414538d2eb54G.jpg","https://www.milanuncios.com/anuncios/r542238290.htm","2025-04-26","961281658","i.inmobiliariagecrisa.3952@inmovilla.com","No","","","No","No contactado","7388","3","1","99","230000","2323","3","Muy baja"
