"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"Fotocasa","","Venta","Plurifamiliar","Piso en Venta en  Carrer de Sant Joan de la Penya, 22, Els Orriols","46019","Valencia","Valencia","Rascanya","Orriols","39.4954428","-0.369104","","Particular","miguelbromo517","No","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/anuncio/2025/09/28/187692710/4744805217.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187692710&tti=1","2025-09-28","34693287565","miguelbromo517@gmail.com","Sí","Bueno","","No","No contactado","794","2","1","70","159000","2271","1","Moderada"
"milanuncios","560093044","Venta","Plurifamiliar","Orriols","46019","Valencia","Valencia","Rascanya","Orriols","39.4940903323","-0.3710177677","2","Particular","","No","No","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r560093044.htm","2025-09-28","","","No","","","No","No contactado","6555","2","1","70","159000","2271","1","Muy baja"
"Fotocasa","","Venta","Plurifamiliar","Piso en Venta en Els Orriols","46001","Valencia","Valencia","Rascanya","Orriols","39.4942298986","-0.3708782014","2º","Particular","michina74","No","No","No","No","No","No","No","No","https://static.fotocasa.es/images/anuncio/2025/09/28/187693370/4744820607.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187693370&tti=1","2025-09-28","","michina74@outlook.es","No","","","No","No contactado","6","2","1","70","159000","2271","1","Muy alta"
"milanuncios","560092256","Venta","Plurifamiliar","Barrio Benicalap - Carrer de Benicadell","46015","Valencia","Valencia","Benicalap","Barrio de Benicalap","39.4908707","-0.3943799","2","Particular","","No","Sí","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r560092256.htm","2025-09-28","","","No","","","No","No contactado","8070","3","1","72","180000","2500","1","Muy baja"
"Fotocasa","","Venta","Plurifamiliar","Piso en Venta en  Carrer de Sant Joan de la Penya, 22, Els Orriols","46019","Valencia","Valencia","Rascanya","Orriols","39.4954428","-0.369104","","Particular","miguelbromo517","No","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/anuncio/2025/09/28/187692710/4744805217.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187692710&tti=1","2025-09-28","34693287565","miguelbromo517@gmail.com","Sí","Bueno","","No","No contactado","801","2","1","70","159000","2271","1","Moderada"
"milanuncios","560093044","Venta","Plurifamiliar","Orriols","46019","Valencia","Valencia","Rascanya","Orriols","39.4940903323","-0.3710177677","2","Particular","","No","No","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r560093044.htm","2025-09-28","","","No","","","No","No contactado","2946","2","1","70","159000","2271","1","Muy baja"
"Fotocasa","","Venta","Plurifamiliar","Piso en Venta en Barrio de Benicalap","46001","Valencia","Valencia","Benicalap","Barrio de Benicalap","39.4894415986","-0.3958090014","2º","Particular","elmadriddentro","No","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/anuncio/2025/09/28/187693263/4744816653.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187693263&tti=1","2025-09-28","","elmadriddentro@hotmail.com","No","","","No","No contactado","6630","3","1","72","180000","2500","1","Muy baja"
"Fotocasa","","Venta","Plurifamiliar","Piso en Venta en Els Orriols","46001","Valencia","Valencia","Rascanya","Orriols","39.4942298986","-0.3708782014","2º","Particular","michina74","No","No","No","No","No","No","No","No","https://static.fotocasa.es/images/anuncio/2025/09/28/187693370/4744820607.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187693370&tti=1","2025-09-28","","michina74@outlook.es","No","","","No","No contactado","5","2","1","70","159000","2271","1","Muy alta"
"Fotocasa","LCV38416- V.Rio- VM","Venta","Plurifamiliar","Piso en Venta en  Carrer del Pintor Genaro Lahuerta, Trinitat","46010","Valencia","Valencia","La Saïdia","Trinitat","39.4829920899","-0.3685746101","1º","Profesional","La Casa Agency Punto las Delicias","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/ff5f1ed8-b386-4f71-a8d7-859c2dca9c10?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187684652&tti=2","2025-09-27","962949342","46021a@lacasa.net","No","Bueno","","No","No contactado","6705","2","1","82","255000","3109","2","Muy baja"
"habitaclia","LCV37669-1","Venta","Plurifamiliar","Piso en venta en Calle de Manuel Andrés","","Valencia","Valencia","Poblats Marítims","Natzaret","39.4478485581","-0.3334502419","2","Profesional","La Casa Agency Punto Valencia Rio","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0195ef26-1a52-4bae-af36-29adb8662d2fG.jpg","https://www.habitaclia.com/i52933000002150","2025-09-27","34960590500","46010a@lacasa.net","No","Muy bueno","","No","No contactado","5113","3","1","90","199999","2222","2","Muy baja"
